university,department,semester,source_form,date,gap,aug67_group,desired_department_match,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,desired_department_match_code,attendance_code,weekly_study_time_code,study_style_code,topic_clarity_code,sleep_duration_code,stress_frequency_code,weekly_responsibilities_code,distraction_frequency_code,study_environment_code,support_level_code,routine_manageability_code,recent_sgpa_band,cgpa_band
BUET,CSE,7.0,multi_uni,2026-08-24,1,False,Somewhat different,75-89%,11-15 hrs,Mostly just before exams,A little,5-6 hrs,Sometimes,1-5 hrs,Often,Neither good nor bad,Some support,Average,2,3,3,1,1,1,2,1,3,2,2,2,C2,C1
BUET,CSE,7.0,multi_uni,2026-08-24,0,False,Mostly different,75-89%,Less than 3 hrs,Occasionally when necessary,Almost everything,5-6 hrs,Rarely,1-5 hrs,Often,Mostly suitable,Very little support,Mostly manageable,1,3,0,0,4,1,1,1,3,3,1,3,C0,C0
BRAC,CSE,10.0,multi_uni,2026-08-24,0,False,"Yes, exactly what I wanted",90% or more,3-6 hrs,Mostly consistent routine,Almost everything,7-8 hrs,Rarely,6-10 hrs,Often,Mostly suitable,Good support,Average,4,4,1,3,4,3,1,2,3,3,3,2,C0,C0
BRAC,CSE,11.0,multi_uni,2026-08-24,0,False,"Yes, exactly what I wanted",60-74%,11-15 hrs,Regularly but not every day,About half,7-8 hrs,Often,1-5 hrs,Almost every day,Neither good nor bad,Some support,Difficult to manage,4,2,3,2,2,3,3,1,4,2,2,1,C1,C1
BRAC,CSE,10.0,multi_uni,2026-08-24,0,False,"Yes, exactly what I wanted",75-89%,Less than 3 hrs,Mostly consistent routine,About half,Less than 5 hrs,Rarely,More than 15 hrs,Rarely,Mostly suitable,Good support,Average,4,3,0,3,2,0,1,4,1,3,3,2,C2,C2
BUET,CSE,7.0,multi_uni,2026-08-24,0,False,Mostly different,90% or more,7-10 hrs,Mostly consistent routine,About half,5-6 hrs,Often,1-5 hrs,Often,Mostly suitable,No support,Average,1,4,2,3,2,1,3,1,3,3,0,2,C2,C2
BRAC,CSE,10.0,multi_uni,2026-08-24,1,False,"Yes, exactly what I wanted",90% or more,7-10 hrs,Mostly just before exams,About half,6-7 hrs,Never,6-10 hrs,Almost every day,Mostly suitable,Some support,Average,4,4,2,1,2,2,0,2,4,3,2,2,C0,C1
BRAC,CSE,11.0,multi_uni,2026-08-24,1,False,"Yes, exactly what I wanted",90% or more,More than 15 hrs,Occasionally when necessary,About half,6-7 hrs,Sometimes,More than 15 hrs,Almost every day,Mostly suitable,Some support,Difficult to manage,4,4,4,0,2,2,2,4,4,3,2,1,C1,C2
BRAC,CSE,10.0,multi_uni,2026-08-24,0,False,Somewhat different,75-89%,7-10 hrs,Regularly but not every day,About half,7-8 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Good support,Difficult to manage,2,3,2,2,2,3,4,1,3,3,3,1,C3,C3
BRAC,CSE,11.0,multi_uni,2026-08-24,0,False,Close to what I wanted,75-89%,3-6 hrs,Regularly but not every day,Almost everything,7-8 hrs,Rarely,1-5 hrs,Rarely,Neither good nor bad,Strong support,Mostly manageable,3,3,1,2,4,3,1,1,1,2,4,3,C2,C2
BRAC,CSE,11.0,multi_uni,2026-08-24,0,False,"Yes, exactly what I wanted",75-89%,7-10 hrs,Mostly just before exams,Almost nothing,6-7 hrs,Often,More than 15 hrs,Never,Somewhat distracting,Some support,Average,4,3,2,1,0,2,3,4,0,1,2,2,C2,C2
BRAC,CSE,10.0,multi_uni,2026-08-24,0,False,"Yes, exactly what I wanted",75-89%,Less than 3 hrs,Regularly but not every day,A little,6-7 hrs,Often,6-10 hrs,Rarely,Very distracting,Strong support,Average,4,3,0,2,1,2,3,2,1,0,4,2,C2,C2
BRAC,CSE,10.0,multi_uni,2026-08-24,0,False,Close to what I wanted,75-89%,3-6 hrs,Mostly just before exams,Most of it,7-8 hrs,Often,1-5 hrs,Often,Neither good nor bad,Some support,Difficult to manage,3,3,1,1,3,3,3,1,3,2,2,1,C3,C3
