@relation main_cgpa_1102_with_id

@attribute row_id numeric
@attribute desired_department_match numeric
@attribute attendance numeric
@attribute weekly_study_time numeric
@attribute study_style numeric
@attribute topic_clarity numeric
@attribute sleep_duration numeric
@attribute stress_frequency numeric
@attribute weekly_responsibilities numeric
@attribute distraction_frequency numeric
@attribute study_environment numeric
@attribute support_level numeric
@attribute routine_manageability numeric
@attribute recent_sgpa_band {C0,C1,C2,C3}
@attribute cgpa_band {C0,C1,C2,C3}

@data
92,3,4,2,1,3,2,0,1,4,3,2,2,C0,C0
93,3,3,2,0,3,2,2,1,3,2,2,2,C1,C1
94,3,2,2,0,4,3,3,1,3,2,1,2,C3,C3
95,4,3,2,0,3,1,1,0,3,0,3,3,C2,C2
96,3,4,1,2,3,0,1,1,4,3,3,0,C2,C2
97,3,4,3,1,3,1,3,1,3,3,3,1,C1,C1
98,3,2,2,1,2,2,0,2,3,3,2,1,C0,C1
99,4,4,2,3,3,3,2,2,2,1,0,4,C0,C1
100,4,3,1,2,3,1,1,1,2,4,1,3,C1,C1
101,4,3,2,0,1,1,2,2,1,2,1,1,C3,C3
102,4,3,1,0,3,2,3,1,3,1,3,4,C2,C2
103,4,4,0,0,4,1,4,1,3,3,3,3,C2,C2
104,4,3,0,1,3,1,4,0,2,4,2,2,C0,C0
105,0,4,4,1,1,3,0,2,1,3,3,1,C0,C3
106,3,4,1,4,4,3,3,3,2,4,4,3,C0,C0
107,3,4,0,0,2,2,2,1,4,1,2,4,C3,C3
108,4,2,1,2,1,4,0,2,4,1,3,1,C3,C3
109,1,4,4,1,3,3,4,2,1,2,0,2,C1,C3
110,2,4,2,0,2,2,2,1,1,3,2,3,C1,C1
111,2,2,4,3,0,3,4,0,4,3,1,0,C0,C2
112,0,2,2,0,4,2,0,3,1,0,2,0,C2,C0
113,2,3,1,0,0,2,2,2,1,2,0,4,C3,C1
114,0,2,0,4,3,0,1,0,2,4,3,4,C0,C3
115,1,3,3,1,2,3,3,1,4,2,0,2,C0,C0
116,4,3,2,0,1,3,1,0,0,1,0,2,C2,C3
117,2,4,2,1,3,2,3,1,3,1,2,0,C0,C3
118,2,4,1,2,3,3,1,0,1,3,3,1,C0,C1
119,3,3,4,0,1,4,2,0,0,0,3,2,C3,C3
120,2,3,4,2,3,3,1,3,4,2,4,1,C2,C2
121,3,3,4,2,4,4,4,1,1,2,2,1,C0,C3
122,2,3,2,2,0,3,3,3,0,3,2,3,C2,C0
123,3,2,1,2,2,4,3,1,3,2,2,0,C0,C1
124,0,4,2,3,2,3,2,4,2,3,3,3,C0,C2
125,0,2,3,2,2,0,4,1,2,2,2,2,C1,C1
126,1,2,3,1,3,4,3,2,0,0,3,3,C2,C0
127,4,4,1,0,1,1,2,2,2,2,3,2,C2,C2
128,0,3,0,1,3,0,0,0,1,0,2,3,C0,C1
129,4,4,1,2,1,3,0,3,2,4,2,2,C0,C1
130,0,4,0,1,4,2,4,3,3,3,4,2,C3,C3
131,4,3,2,1,4,2,1,3,4,3,3,2,C0,C3
132,1,4,1,0,0,1,3,2,3,2,4,2,C3,C2
133,4,4,0,0,4,2,1,3,2,3,1,3,C0,C0
134,2,4,1,2,2,0,1,1,2,0,2,2,C0,C0
135,1,3,0,2,1,0,3,2,4,1,3,4,C2,C1
136,0,3,1,3,4,0,1,2,0,0,3,3,C1,C1
137,4,2,1,2,2,2,4,4,1,0,4,4,C0,C1
138,4,4,0,2,0,3,2,0,2,1,3,3,C0,C1
139,4,4,0,3,3,1,1,0,3,4,0,3,C0,C0
140,1,4,1,1,1,2,3,2,4,0,2,3,C0,C0
141,3,4,3,4,0,2,1,0,3,1,0,4,C3,C0
142,3,3,1,0,3,2,2,4,3,0,4,3,C3,C3
143,4,3,0,2,2,0,4,4,4,2,0,0,C3,C0
144,0,3,3,4,3,0,2,3,0,0,0,2,C3,C1
145,3,4,0,2,1,2,2,2,4,3,3,2,C3,C3
146,0,3,0,2,4,4,1,4,0,1,0,3,C1,C2
147,2,2,0,2,1,0,1,4,4,1,1,4,C3,C3
148,3,4,1,1,3,2,3,3,3,1,4,2,C0,C0
149,3,3,2,1,3,4,4,1,1,0,2,3,C0,C0
150,3,3,1,0,4,3,4,2,3,1,1,2,C1,C2
151,3,3,4,1,4,0,2,4,4,3,3,3,C0,C2
152,1,2,0,1,4,2,2,1,0,1,0,4,C0,C2
153,3,4,1,3,1,1,1,4,4,3,2,1,C3,C0
154,2,4,0,0,3,3,2,2,2,3,2,2,C2,C2
155,2,3,2,2,2,1,1,4,4,3,3,2,C1,C2
156,4,4,0,4,3,4,4,4,1,4,4,4,C2,C0
157,4,4,2,2,1,1,4,2,2,1,2,2,C2,C2
