run,n,accuracy,kappa,qwk,far_rate,within_1,mae_bands,macro_f1,guard,model,acc_std,repeats
G1 random 455 rows removed | SMO,6470,0.4604327666151468,0.27845469726239025,0.3211684354048727,0.22179289026275115,0.7782071097372488,0.8346213292117465,0.4590118090849944,G1 random 455 rows removed,SMO,0.010169263771002156,10
G1 random 455 rows removed | RandomForest,6470,0.44714064914992274,0.25691382660005113,0.2944452201785529,0.21808346213292118,0.7819165378670788,0.839258114374034,0.44400620297857485,G1 random 455 rows removed,RandomForest,0.01300597804414926,10
G2 train trusted -> test 6-7 Aug wave | ZeroR,455,0.2571428571428571,0.0,0.0,0.23296703296703297,0.7670329670329671,0.9758241758241758,0.10227272727272727,G2 train trusted -> test 6-7 Aug wave,ZeroR,0.0,1
G2 train trusted -> test 6-7 Aug wave | SMO,455,0.24835164835164836,-0.0008747443302417057,-0.041477598681496586,0.4,0.6,1.2857142857142858,0.24828123400775406,G2 train trusted -> test 6-7 Aug wave,SMO,0.0,1
G2 train trusted -> test 6-7 Aug wave | RandomForest,455,0.23956043956043957,-0.014401237153258695,-0.04627195246908178,0.3824175824175824,0.6175824175824176,1.2703296703296703,0.2378296489704335,G2 train trusted -> test 6-7 Aug wave,RandomForest,0.0,1
G3 contradictory rows deleted (circular) | ZeroR,860,0.313953488372093,0.0,0.0,0.20116279069767443,0.7988372093023256,0.8872093023255814,0.11946902654867256,G3 contradictory rows deleted (circular),ZeroR,0.0,1
G3 contradictory rows deleted (circular) | SMO,860,0.5906976744186047,0.44584585757330575,0.8031860045692678,0.0,1.0,0.40930232558139534,0.6048840377583661,G3 contradictory rows deleted (circular),SMO,0.0,1
