M,T2 questionnaire,T3 main,T3 leaves
2,0.2613430127041742,0.38021778584392013,242.0
5,0.28765880217785844,0.4101633393829401,64.0
10,0.2912885662431942,0.44101633393829404,34.0
20,0.29491833030852993,0.4382940108892922,13.0
40,0.26497277676951,0.43284936479128855,7.0
80,0.2776769509981851,0.45644283121597096,4.0
