question,data,option_code,option,n,C0 %,C1 %,C2 %,C3 %
distraction_frequency,trusted,1,Rarely,81,22.2,22.2,34.6,21.0
distraction_frequency,trusted,2,Sometimes,198,14.6,39.4,28.8,17.2
distraction_frequency,trusted,3,Often,183,19.1,32.8,24.6,23.5
distraction_frequency,trusted,4,Almost every day,148,22.3,28.4,25.0,24.3
study_environment,all,0,Very distracting,153,30.1,23.5,22.9,23.5
study_environment,all,1,Somewhat distracting,185,21.1,30.8,23.8,24.3
study_environment,all,2,Neither good nor bad,260,18.5,33.1,28.1,20.4
study_environment,all,3,Mostly suitable,341,16.7,28.7,32.8,21.7
study_environment,all,4,Excellent for focused study,163,28.2,26.4,22.1,23.3
study_environment,trusted,0,Very distracting,44,43.2,22.7,15.9,18.2
study_environment,trusted,1,Somewhat distracting,98,20.4,32.7,23.5,23.5
study_environment,trusted,2,Neither good nor bad,174,16.7,37.9,28.2,17.2
study_environment,trusted,3,Mostly suitable,245,13.9,30.2,33.9,22.0
study_environment,trusted,4,Excellent for focused study,86,26.7,24.4,19.8,29.1
support_level,all,0,No support,150,24.7,26.0,26.0,23.3
support_level,all,1,Very little support,172,28.5,25.0,24.4,22.1
support_level,all,2,Some support,269,19.0,37.5,25.3,18.2
support_level,all,3,Good support,312,17.6,27.6,30.4,24.4
support_level,all,4,Strong support,199,22.1,25.6,28.1,24.1
support_level,trusted,0,No support,62,24.2,25.8,33.9,16.1
support_level,trusted,1,Very little support,77,28.6,29.9,22.1,19.5
support_level,trusted,2,Some support,176,17.6,42.6,22.2,17.6
support_level,trusted,3,Good support,227,13.7,29.5,31.7,25.1
support_level,trusted,4,Strong support,105,24.8,21.0,28.6,25.7
routine_manageability,all,0,Completely unmanageable,164,27.4,27.4,31.1,14.0
routine_manageability,all,1,Difficult to manage,263,21.3,30.0,19.4,29.3
routine_manageability,all,2,Average,328,18.3,32.0,29.9,19.8
routine_manageability,all,3,Mostly manageable,232,19.8,27.2,30.2,22.8
routine_manageability,all,4,Very healthy and balanced,115,25.2,24.3,26.1,24.3
routine_manageability,trusted,0,Completely unmanageable,71,29.6,26.8,28.2,15.5
routine_manageability,trusted,1,Difficult to manage,172,25.0,30.2,19.8,25.0
routine_manageability,trusted,2,Average,237,15.2,35.4,30.8,18.6
routine_manageability,trusted,3,Mostly manageable,136,14.0,27.9,34.6,23.5
routine_manageability,trusted,4,Very healthy and balanced,31,19.4,32.3,16.1,32.3
