run,n,accuracy,kappa,qwk,far_rate,within_1,mae_bands,macro_f1,subset,data,model,acc_std,repeats
Multi-uni only|main|RandomForest,1150,0.5017391304347826,0.3352098182533557,0.3646688212366478,0.18,0.82,0.7765217391304348,0.501749905836153,Multi-uni only,main,RandomForest,0.008064016083039716,5
Multi-uni only|main|SMO,1150,0.48782608695652174,0.31600844197154365,0.40523900145527814,0.16608695652173913,0.8339130434782609,0.7573913043478261,0.489450904238527,Multi-uni only,main,SMO,0.019905257638712353,5
Multi-uni only|main|Logistic,1150,0.46608695652173915,0.2863026921580222,0.3439170266139212,0.18956521739130436,0.8104347826086956,0.808695652173913,0.4673530280067056,Multi-uni only,main,Logistic,0.012111641980160109,5
Multi-uni only|quest|ZeroR,1150,0.2608695652173913,-0.00591715976331364,-0.001195457262402888,0.2391304347826087,0.7608695652173914,0.9782608695652174,0.15403395002860956,Multi-uni only,quest,ZeroR,0.0,5
Multi-uni only|quest|J48,1150,0.24434782608695652,-0.008873768373445445,0.014831294030404174,0.331304347826087,0.668695652173913,1.1991304347826086,0.2438902188752728,Multi-uni only,quest,J48,0.014393865528040737,5
Multi-uni only|quest|RandomForest,1150,0.3565217391304348,0.1404821783878234,0.03970833079368541,0.3269565217391304,0.6730434782608695,1.0982608695652174,0.3539449998660952,Multi-uni only,quest,RandomForest,0.021825913735671536,5
Multi-uni only|quest|SMO,1150,0.3017391304347826,0.06545697428476005,0.015184142787031285,0.3382608695652174,0.6617391304347826,1.14,0.2984069057998789,Multi-uni only,quest,SMO,0.020687612614557083,5
Multi-uni only|quest|Logistic,1150,0.27217391304347827,0.025995709544240353,-0.03667453969438439,0.35478260869565215,0.6452173913043479,1.1947826086956521,0.2696302408923179,Multi-uni only,quest,Logistic,0.027988655546836667,5
KUET only|main|ZeroR,4360,0.29701834862385323,0.0,0.0,0.21788990825688073,0.7821100917431193,0.9208715596330275,0.11450044208664897,KUET only,main,ZeroR,0.0,5
KUET only|main|J48,4360,0.42775229357798167,0.22502638587747337,0.28674743378727907,0.21376146788990827,0.7862385321100918,0.8353211009174312,0.4221415648714388,KUET only,main,J48,0.008173637468442869,5
