run,n,accuracy,kappa,qwk,far_rate,within_1,mae_bands,macro_f1,k,model
D_topk1_J48,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,1,J48
D_topk1_RandomForest,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,1,RandomForest
D_topk1_Logistic,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,1,Logistic
D_topk1_SMO,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,1,SMO
D_topk2_J48,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,2,J48
D_topk2_RandomForest,1102,0.44101633393829404,0.2510844862205158,0.27936656697493023,0.23049001814882034,0.7695099818511797,0.8666061705989111,0.4384447594229537,2,RandomForest
D_topk2_Logistic,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,2,Logistic
D_topk2_SMO,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,2,SMO
D_topk4_J48,1102,0.4500907441016334,0.2636354013214187,0.30982865114004876,0.21960072595281308,0.7803992740471869,0.8439201451905626,0.44727753075717147,4,J48
D_topk4_RandomForest,1102,0.367513611615245,0.15142737195633926,0.1684410802684816,0.27041742286751363,0.7295825771324864,0.9872958257713249,0.36312344100737376,4,RandomForest
D_topk4_Logistic,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,4,Logistic
D_topk4_SMO,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,4,SMO
D_topk8_J48,1102,0.4618874773139746,0.2781218172057027,0.3314707699219408,0.2159709618874773,0.7840290381125227,0.8148820326678766,0.45999652550890435,8,J48
D_topk8_RandomForest,1102,0.41742286751361163,0.21801988208688972,0.2903832806927038,0.21869328493647913,0.7813067150635209,0.868421052631579,0.41899718212218073,8,RandomForest
D_topk8_Logistic,1102,0.46098003629764067,0.27942617230242206,0.3180731739127969,0.22141560798548093,0.778584392014519,0.8366606170598911,0.4597968319141678,8,Logistic
D_topk8_SMO,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,8,SMO
D_topk13_J48,1102,0.43284936479128855,0.2366052625745384,0.31259399365829565,0.20871143375680581,0.7912885662431942,0.8357531760435571,0.43149709014104387,13,J48
D_topk13_RandomForest,1102,0.4500907441016334,0.2614316775750444,0.3201820974715883,0.20598911070780399,0.794010889292196,0.823049001814882,0.4481014744177838,13,RandomForest
D_topk13_Logistic,1102,0.4573502722323049,0.27391521834460475,0.3137682185207269,0.22050816696914702,0.779491833030853,0.838475499092559,0.4557262101174009,13,Logistic
D_topk13_SMO,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,13,SMO
