model,evaluation,count,mean,std,min,max
J48,10-fold CV (10 seeds),10,0.4335753176043557,0.008000590665752759,0.4219600725952813,0.44918330308529947
J48,5-fold CV (10 seeds),10,0.43484573502722323,0.01173686079881697,0.41742286751361163,0.45644283121597096
J48,80/20 split (30 seeds),30,0.433030303030303,0.028894648837673325,0.37272727272727274,0.4863636363636364
RandomForest,10-fold CV (10 seeds),10,0.45589836660617056,0.008610866714414082,0.4401088929219601,0.47186932849364793
RandomForest,5-fold CV (10 seeds),10,0.4538112522686025,0.006308002468334581,0.4437386569872958,0.46370235934664245
RandomForest,80/20 split (30 seeds),30,0.4445454545454545,0.03181594259921862,0.36818181818181817,0.5045454545454545
SMO,10-fold CV (10 seeds),10,0.4609800362976407,0.0,0.46098003629764067,0.46098003629764067
SMO,5-fold CV (10 seeds),10,0.4609800362976407,0.0,0.46098003629764067,0.46098003629764067
SMO,80/20 split (30 seeds),30,0.4556060606060606,0.03350187749325831,0.37272727272727274,0.509090909090909
