university,department_grouped,academic_progress,academic_year,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,admission_satisfaction,desired_department_match,career_expectation,discipline_index,wellbeing_index,environment_index,motivation_index,effective_study,focus_balance,load_pressure,recent_sgpa_band,cgpa_band
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Mostly just before exams,A little,5-6 hrs,Often,1-5 hrs,Almost every day,Neither good nor bad,Good support,Difficult to manage,Very dissatisfied,Close to what I wanted,Somewhat,0.375,0.25,0.625,0.417,0.125,-0.5,0.375,C2_3_50_to_3_74,C2_3_50_to_3_74
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Regularly but not every day,About half,7-8 hrs,Rarely,6-10 hrs,Sometimes,Mostly suitable,Some support,Mostly manageable,Neutral,Somewhat different,Mostly,0.562,0.75,0.625,0.583,0.125,-0.25,0.0,C1_3_20_to_3_49,C0_below_3_20
BRAC,CSE,0.833,4,75-89%,Less than 3 hrs,Mostly just before exams,Most of it,5-6 hrs,Often,11-15 hrs,Rarely,Somewhat distracting,Very little support,Difficult to manage,Very dissatisfied,"Yes, exactly what I wanted",Somewhat,0.438,0.25,0.25,0.5,0.0,-0.25,0.625,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.917,4,90% or more,7-10 hrs,Mostly consistent routine,About half,6-7 hrs,Sometimes,1-5 hrs,Often,Excellent for focused study,Good support,Mostly manageable,Very satisfied,Close to what I wanted,Mostly,0.625,0.583,0.875,0.833,0.25,-0.25,0.0,C2_3_50_to_3_74,C1_3_20_to_3_49
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Occasionally when necessary,A little,Less than 5 hrs,Almost always,6-10 hrs,Almost every day,Mostly suitable,Strong support,Difficult to manage,Neutral,"Yes, exactly what I wanted",Slightly,0.25,0.083,0.875,0.583,0.062,-0.75,0.625,C0_below_3_20,C0_below_3_20
BRAC,CSE,0.917,4,90% or more,7-10 hrs,Regularly but not every day,Most of it,7-8 hrs,Rarely,None,Sometimes,Neither good nor bad,Some support,Mostly manageable,Very dissatisfied,"Yes, exactly what I wanted",Completely,0.625,0.75,0.5,0.667,0.375,0.0,-0.25,C3_3_75_plus,C2_3_50_to_3_74
BRAC,CSE,0.833,4,60-74%,11-15 hrs,Mostly consistent routine,About half,6-7 hrs,Often,More than 15 hrs,Often,Somewhat distracting,Good support,Average,Very dissatisfied,Somewhat different,Mostly,0.562,0.417,0.5,0.417,0.375,0.0,0.625,C1_3_20_to_3_49,C1_3_20_to_3_49
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Regularly but not every day,Most of it,7-8 hrs,Rarely,More than 15 hrs,Almost every day,Neither good nor bad,Very little support,Difficult to manage,Very dissatisfied,Close to what I wanted,Somewhat,0.375,0.583,0.375,0.417,0.188,-0.75,0.5,C2_3_50_to_3_74,C1_3_20_to_3_49
BRAC,CSE,0.917,4,90% or more,7-10 hrs,Occasionally when necessary,A little,More than 8 hrs,Never,More than 15 hrs,Sometimes,Neither good nor bad,Good support,Average,Very satisfied,Somewhat different,Somewhat,0.5,0.833,0.625,0.667,0.125,0.0,0.25,C2_3_50_to_3_74,C3_3_75_plus
BRAC,CSE,0.833,4,60-74%,3-6 hrs,Occasionally when necessary,Most of it,7-8 hrs,Sometimes,1-5 hrs,Often,Neither good nor bad,Strong support,Difficult to manage,Very dissatisfied,Somewhat different,Mostly,0.25,0.5,0.75,0.417,0.188,-0.5,0.25,C1_3_20_to_3_49,C0_below_3_20
BRAC,CSE,0.917,4,90% or more,7-10 hrs,Occasionally when necessary,A little,7-8 hrs,Almost always,None,Often,Excellent for focused study,Some support,Difficult to manage,Very dissatisfied,Somewhat different,Mostly,0.438,0.333,0.75,0.417,0.125,-0.25,0.375,C3_3_75_plus,C2_3_50_to_3_74
BUET,CSE,0.875,4,75-89%,3-6 hrs,Mostly just before exams,About half,Less than 5 hrs,Sometimes,11-15 hrs,Rarely,Mostly suitable,Some support,Mostly manageable,Very satisfied,Not at all what I wanted,Completely,0.5,0.417,0.625,0.667,0.125,0.0,0.25,C0_below_3_20,C1_3_20_to_3_49
BUET,CSE,0.875,4,90% or more,7-10 hrs,Consistent throughout the semester,Almost everything,6-7 hrs,Almost always,1-5 hrs,Almost every day,Excellent for focused study,Good support,Mostly manageable,Very dissatisfied,Somewhat different,Mostly,0.625,0.417,0.875,0.417,0.5,-0.5,0.25,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Mostly just before exams,Almost nothing,5-6 hrs,Often,None,Often,Somewhat distracting,Good support,Difficult to manage,Very dissatisfied,"Yes, exactly what I wanted",Somewhat,0.438,0.25,0.5,0.5,0.0,-0.5,0.25,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.833,4,60-74%,7-10 hrs,Regularly but not every day,About half,6-7 hrs,Often,6-10 hrs,Almost every day,Neither good nor bad,Good support,Difficult to manage,Neutral,Somewhat different,Completely,0.375,0.333,0.625,0.667,0.25,-0.5,0.5,C1_3_20_to_3_49,C1_3_20_to_3_49
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Occasionally when necessary,A little,7-8 hrs,Sometimes,11-15 hrs,Often,Excellent for focused study,Good support,Difficult to manage,Very satisfied,Close to what I wanted,Mostly,0.375,0.5,0.875,0.833,0.062,-0.5,0.5,C0_below_3_20,C0_below_3_20
BUET,CSE,0.875,4,75-89%,3-6 hrs,Regularly but not every day,Almost everything,5-6 hrs,Often,6-10 hrs,Sometimes,Mostly suitable,Very little support,Difficult to manage,Very satisfied,Close to what I wanted,Somewhat,0.5,0.25,0.5,0.75,0.25,-0.25,0.5,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Regularly but not every day,About half,6-7 hrs,Almost always,More than 15 hrs,Often,Mostly suitable,Very little support,Average,Very dissatisfied,"Yes, exactly what I wanted",Mostly,0.5,0.333,0.5,0.583,0.25,-0.25,0.75,C2_3_50_to_3_74,C1_3_20_to_3_49
BRAC,CSE,0.833,4,75-89%,More than 15 hrs,Regularly but not every day,About half,7-8 hrs,Sometimes,11-15 hrs,Often,Neither good nor bad,Strong support,Difficult to manage,Very dissatisfied,"Yes, exactly what I wanted",Somewhat,0.625,0.5,0.75,0.5,0.5,0.25,0.5,C2_3_50_to_3_74,C1_3_20_to_3_49
BRAC,CSE,0.917,4,90% or more,11-15 hrs,Occasionally when necessary,About half,Less than 5 hrs,Sometimes,11-15 hrs,Sometimes,Mostly suitable,Good support,Average,Very dissatisfied,"Yes, exactly what I wanted",Slightly,0.562,0.333,0.75,0.417,0.375,0.25,0.375,C2_3_50_to_3_74,C1_3_20_to_3_49
BRAC,CSE,0.917,4,75-89%,3-6 hrs,Mostly just before exams,Almost nothing,7-8 hrs,Sometimes,6-10 hrs,Almost every day,Mostly suitable,Strong support,Average,Very dissatisfied,Close to what I wanted,Somewhat,0.312,0.583,0.875,0.417,0.0,-0.75,0.25,C3_3_75_plus,C2_3_50_to_3_74
BUET,CSE,0.875,4,90% or more,11-15 hrs,Regularly but not every day,Almost everything,5-6 hrs,Rarely,6-10 hrs,Never,Neither good nor bad,Good support,Mostly manageable,Very dissatisfied,Close to what I wanted,Slightly,0.812,0.583,0.625,0.333,0.75,0.75,0.0,C0_below_3_20,C1_3_20_to_3_49
BUET,CSE,0.875,4,90% or more,7-10 hrs,Occasionally when necessary,Almost everything,Less than 5 hrs,Sometimes,More than 15 hrs,Sometimes,Neither good nor bad,Very little support,Average,Very dissatisfied,"Yes, exactly what I wanted",Somewhat,0.5,0.333,0.375,0.5,0.5,0.0,0.5,C0_below_3_20,C1_3_20_to_3_49
BUET,CSE,0.875,4,90% or more,11-15 hrs,Regularly but not every day,About half,7-8 hrs,Almost always,11-15 hrs,Often,Mostly suitable,Strong support,Average,Very dissatisfied,Close to what I wanted,Completely,0.625,0.417,0.875,0.583,0.375,0.0,0.625,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Mostly consistent routine,About half,5-6 hrs,Sometimes,11-15 hrs,Rarely,Somewhat distracting,Good support,Difficult to manage,Very dissatisfied,"Yes, exactly what I wanted",Slightly,0.625,0.333,0.5,0.417,0.125,0.0,0.5,C0_below_3_20,C0_below_3_20
BRAC,CSE,0.917,4,90% or more,Less than 3 hrs,Mostly just before exams,About half,6-7 hrs,Often,None,Often,Somewhat distracting,Some support,Average,Very dissatisfied,"Yes, exactly what I wanted",Somewhat,0.375,0.417,0.375,0.5,0.0,-0.75,0.125,C3_3_75_plus,C3_3_75_plus
BUET,CSE,0.875,4,90% or more,3-6 hrs,Mostly consistent routine,About half,6-7 hrs,Rarely,6-10 hrs,Often,Mostly suitable,Some support,Average,Very satisfied,"Yes, exactly what I wanted",Somewhat,0.562,0.583,0.625,0.833,0.125,-0.5,0.125,C2_3_50_to_3_74,C2_3_50_to_3_74
BRAC,CSE,0.917,4,90% or more,7-10 hrs,Mostly just before exams,About half,7-8 hrs,Often,None,Almost every day,Somewhat distracting,Some support,Mostly manageable,Very dissatisfied,Close to what I wanted,Mostly,0.438,0.583,0.375,0.5,0.25,-0.5,0.0,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.833,4,60-74%,11-15 hrs,Occasionally when necessary,About half,6-7 hrs,Often,None,Often,Neither good nor bad,Some support,Average,Very dissatisfied,"Yes, exactly what I wanted",Mostly,0.375,0.417,0.5,0.583,0.375,0.0,0.125,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.917,4,60-74%,7-10 hrs,Mostly consistent routine,About half,6-7 hrs,Often,1-5 hrs,Often,Mostly suitable,Good support,Difficult to manage,Neutral,Close to what I wanted,Mostly,0.5,0.333,0.75,0.667,0.25,-0.25,0.375,C3_3_75_plus,C3_3_75_plus
BUET,CSE,0.875,4,75-89%,11-15 hrs,Mostly just before exams,A little,5-6 hrs,Sometimes,1-5 hrs,Often,Neither good nor bad,Some support,Average,Very dissatisfied,Somewhat different,Mostly,0.5,0.417,0.5,0.417,0.188,0.0,0.125,C2_3_50_to_3_74,C1_3_20_to_3_49
BUET,CSE,0.875,4,75-89%,Less than 3 hrs,Occasionally when necessary,Almost everything,5-6 hrs,Rarely,1-5 hrs,Often,Mostly suitable,Very little support,Mostly manageable,Very dissatisfied,Mostly different,Somewhat,0.25,0.583,0.5,0.25,0.0,-0.75,-0.125,C0_below_3_20,C0_below_3_20
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Mostly consistent routine,Almost everything,7-8 hrs,Rarely,6-10 hrs,Often,Mostly suitable,Good support,Average,Neutral,"Yes, exactly what I wanted",Completely,0.562,0.667,0.75,0.833,0.25,-0.5,0.125,C0_below_3_20,C0_below_3_20
BRAC,CSE,0.917,4,60-74%,11-15 hrs,Regularly but not every day,About half,7-8 hrs,Often,1-5 hrs,Almost every day,Neither good nor bad,Some support,Difficult to manage,Very satisfied,"Yes, exactly what I wanted",Mostly,0.438,0.417,0.5,0.917,0.375,-0.25,0.375,C1_3_20_to_3_49,C1_3_20_to_3_49
BRAC,CSE,0.833,4,75-89%,Less than 3 hrs,Mostly consistent routine,About half,Less than 5 hrs,Rarely,More than 15 hrs,Rarely,Mostly suitable,Good support,Average,Neutral,"Yes, exactly what I wanted",Somewhat,0.562,0.417,0.75,0.667,0.0,-0.25,0.375,C2_3_50_to_3_74,C2_3_50_to_3_74
BUET,CSE,0.875,4,90% or more,7-10 hrs,Mostly consistent routine,About half,5-6 hrs,Often,1-5 hrs,Often,Mostly suitable,No support,Average,Very dissatisfied,Mostly different,Mostly,0.625,0.333,0.375,0.333,0.25,-0.25,0.25,C2_3_50_to_3_74,C2_3_50_to_3_74
BRAC,CSE,0.833,4,90% or more,7-10 hrs,Mostly just before exams,About half,6-7 hrs,Never,6-10 hrs,Almost every day,Mostly suitable,Some support,Average,Very dissatisfied,"Yes, exactly what I wanted",Completely,0.438,0.667,0.625,0.667,0.25,-0.5,0.0,C0_below_3_20,C1_3_20_to_3_49
BRAC,CSE,0.917,4,90% or more,More than 15 hrs,Occasionally when necessary,About half,6-7 hrs,Sometimes,More than 15 hrs,Almost every day,Mostly suitable,Some support,Difficult to manage,Very satisfied,"Yes, exactly what I wanted",Mostly,0.5,0.417,0.625,0.917,0.5,0.0,0.625,C1_3_20_to_3_49,C2_3_50_to_3_74
BRAC,CSE,0.833,4,75-89%,7-10 hrs,Regularly but not every day,About half,7-8 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Good support,Difficult to manage,Very dissatisfied,Somewhat different,Slightly,0.5,0.333,0.75,0.25,0.25,-0.25,0.5,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.917,4,75-89%,3-6 hrs,Regularly but not every day,Almost everything,7-8 hrs,Rarely,1-5 hrs,Rarely,Neither good nor bad,Strong support,Mostly manageable,Very dissatisfied,Close to what I wanted,Somewhat,0.562,0.75,0.75,0.417,0.25,0.0,-0.125,C2_3_50_to_3_74,C2_3_50_to_3_74
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Mostly just before exams,Almost nothing,6-7 hrs,Often,More than 15 hrs,Never,Somewhat distracting,Some support,Average,Neutral,"Yes, exactly what I wanted",Slightly,0.625,0.417,0.375,0.583,0.0,0.5,0.625,C2_3_50_to_3_74,C2_3_50_to_3_74
BRAC,CSE,0.833,4,75-89%,Less than 3 hrs,Regularly but not every day,A little,6-7 hrs,Often,6-10 hrs,Rarely,Very distracting,Strong support,Average,Very dissatisfied,"Yes, exactly what I wanted",Mostly,0.5,0.417,0.5,0.583,0.0,-0.25,0.375,C2_3_50_to_3_74,C2_3_50_to_3_74
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Mostly just before exams,Most of it,7-8 hrs,Often,1-5 hrs,Often,Neither good nor bad,Some support,Difficult to manage,Very dissatisfied,Close to what I wanted,Slightly,0.375,0.417,0.5,0.333,0.188,-0.5,0.375,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Regularly but not every day,About half,7-8 hrs,Often,1-5 hrs,Rarely,Excellent for focused study,Some support,Mostly manageable,Satisfied,Mostly different,Slightly,0.625,0.583,0.75,0.417,0.25,0.25,0.125,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Mostly just before exams,A little,5-6 hrs,Almost always,None,Often,Very distracting,Good support,Average,Satisfied,Close to what I wanted,Completely,0.438,0.25,0.375,0.833,0.062,-0.5,0.25,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.917,4,75-89%,3-6 hrs,Mostly just before exams,A little,6-7 hrs,Often,1-5 hrs,Often,Somewhat distracting,Good support,Mostly manageable,Satisfied,Somewhat different,Mostly,0.375,0.5,0.5,0.667,0.062,-0.5,0.125,C2_3_50_to_3_74,C2_3_50_to_3_74
BRAC,CSE,0.833,4,75-89%,7-10 hrs,Consistent throughout the semester,About half,5-6 hrs,Often,1-5 hrs,Sometimes,Somewhat distracting,Some support,Completely unmanageable,Neutral,"Yes, exactly what I wanted",Slightly,0.688,0.167,0.375,0.583,0.25,0.0,0.5,C2_3_50_to_3_74,C3_3_75_plus
BRAC,CSE,0.917,4,60-74%,Less than 3 hrs,Occasionally when necessary,A little,Less than 5 hrs,Sometimes,1-5 hrs,Often,Mostly suitable,Strong support,Average,Satisfied,Close to what I wanted,Somewhat,0.188,0.333,0.875,0.667,0.0,-0.75,0.125,C2_3_50_to_3_74,C3_3_75_plus
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Regularly but not every day,About half,More than 8 hrs,Often,6-10 hrs,Never,Excellent for focused study,Good support,Average,Satisfied,Not at all what I wanted,Mostly,0.625,0.583,0.875,0.5,0.125,0.25,0.375,C2_3_50_to_3_74,C2_3_50_to_3_74
BRAC,CSE,0.917,4,75-89%,11-15 hrs,Regularly but not every day,About half,6-7 hrs,Often,11-15 hrs,Almost every day,Somewhat distracting,Good support,Difficult to manage,Satisfied,"Yes, exactly what I wanted",Completely,0.5,0.333,0.5,0.917,0.375,-0.25,0.625,C2_3_50_to_3_74,C1_3_20_to_3_49
BRAC,CSE,0.833,4,90% or more,7-10 hrs,Occasionally when necessary,Most of it,7-8 hrs,Often,None,Sometimes,Excellent for focused study,Strong support,Completely unmanageable,Neutral,Mostly different,Mostly,0.5,0.333,1.0,0.5,0.375,0.0,0.375,C0_below_3_20,C0_below_3_20
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Mostly consistent routine,Most of it,6-7 hrs,Sometimes,More than 15 hrs,Almost every day,Somewhat distracting,Good support,Difficult to manage,Very satisfied,"Yes, exactly what I wanted",Slightly,0.5,0.417,0.5,0.75,0.375,-0.5,0.625,C0_below_3_20,C0_below_3_20
BRAC,EEE,0.917,4,75-89%,3-6 hrs,Mostly just before exams,About half,7-8 hrs,Often,1-5 hrs,Often,Very distracting,Good support,Difficult to manage,Satisfied,"Yes, exactly what I wanted",Mostly,0.375,0.417,0.375,0.833,0.125,-0.5,0.375,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.833,4,75-89%,7-10 hrs,Mostly consistent routine,Almost nothing,Less than 5 hrs,Often,6-10 hrs,Sometimes,Neither good nor bad,Strong support,Average,Neutral,"Yes, exactly what I wanted",Mostly,0.625,0.25,0.75,0.75,0.0,0.0,0.375,C1_3_20_to_3_49,C2_3_50_to_3_74
BRAC,EEE,0.833,4,75-89%,Less than 3 hrs,Mostly consistent routine,About half,7-8 hrs,Almost always,None,Sometimes,Excellent for focused study,Very little support,Difficult to manage,Neutral,"Yes, exactly what I wanted",Somewhat,0.5,0.333,0.625,0.667,0.0,-0.5,0.375,C1_3_20_to_3_49,C1_3_20_to_3_49
BRAC,CSE,0.833,4,75-89%,Less than 3 hrs,Mostly consistent routine,Almost nothing,6-7 hrs,Rarely,6-10 hrs,Often,Neither good nor bad,Very little support,Difficult to manage,Neutral,Somewhat different,Mostly,0.438,0.5,0.375,0.583,0.0,-0.75,0.25,C1_3_20_to_3_49,C1_3_20_to_3_49
BRAC,EEE,0.917,4,90% or more,Less than 3 hrs,Consistent throughout the semester,A little,5-6 hrs,Rarely,None,Almost every day,Mostly suitable,Very little support,Average,Satisfied,Close to what I wanted,Mostly,0.5,0.5,0.5,0.75,0.0,-1.0,-0.125,C2_3_50_to_3_74,C2_3_50_to_3_74
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Mostly just before exams,Most of it,6-7 hrs,Sometimes,6-10 hrs,Often,Mostly suitable,No support,Average,Neutral,Somewhat different,Mostly,0.438,0.5,0.375,0.583,0.188,-0.5,0.25,C1_3_20_to_3_49,C1_3_20_to_3_49
BRAC,ECE,0.833,4,75-89%,7-10 hrs,Mostly just before exams,Most of it,6-7 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Good support,Average,Satisfied,"Yes, exactly what I wanted",Mostly,0.438,0.333,0.75,0.833,0.375,-0.25,0.375,C0_below_3_20,C1_3_20_to_3_49
BRAC,EEE,0.917,4,90% or more,11-15 hrs,Mostly just before exams,A little,5-6 hrs,Sometimes,11-15 hrs,Never,Somewhat distracting,Good support,Difficult to manage,Neutral,Close to what I wanted,Mostly,0.75,0.333,0.5,0.667,0.188,0.75,0.5,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.917,4,90% or more,11-15 hrs,Regularly but not every day,About half,Less than 5 hrs,Almost always,1-5 hrs,Sometimes,Excellent for focused study,Very little support,Very healthy and balanced,Satisfied,Close to what I wanted,Mostly,0.688,0.333,0.625,0.75,0.375,0.25,0.125,C1_3_20_to_3_49,C1_3_20_to_3_49
BRAC,EEE,0.833,4,90% or more,7-10 hrs,Mostly consistent routine,A little,6-7 hrs,Rarely,6-10 hrs,Often,Somewhat distracting,Some support,Average,Neutral,Close to what I wanted,Completely,0.625,0.583,0.375,0.75,0.125,-0.25,0.125,C1_3_20_to_3_49,C2_3_50_to_3_74
BRAC,ECE,0.917,4,75-89%,Less than 3 hrs,Consistent throughout the semester,Almost everything,6-7 hrs,Sometimes,None,Almost every day,Excellent for focused study,Some support,Difficult to manage,Dissatisfied,"Yes, exactly what I wanted",Slightly,0.438,0.417,0.75,0.5,0.0,-1.0,0.125,C3_3_75_plus,C3_3_75_plus
BRAC,CSE,0.917,4,75-89%,3-6 hrs,Regularly but not every day,A little,6-7 hrs,Often,None,Often,Somewhat distracting,Some support,Mostly manageable,Neutral,"Yes, exactly what I wanted",Somewhat,0.438,0.5,0.375,0.667,0.062,-0.5,0.0,C0_below_3_20,C1_3_20_to_3_49
BRAC,ECE,0.917,4,75-89%,7-10 hrs,Mostly just before exams,Most of it,7-8 hrs,Sometimes,6-10 hrs,Often,Excellent for focused study,Some support,Average,Very satisfied,Close to what I wanted,Somewhat,0.438,0.583,0.75,0.75,0.375,-0.25,0.25,C0_below_3_20,C0_below_3_20
BRAC,CSE,0.917,4,90% or more,3-6 hrs,Mostly just before exams,About half,7-8 hrs,Almost always,6-10 hrs,Often,Mostly suitable,Some support,Mostly manageable,Neutral,"Yes, exactly what I wanted",Slightly,0.438,0.5,0.625,0.583,0.125,-0.5,0.375,C3_3_75_plus,C3_3_75_plus
