experiment,model,accuracy,acc_std,macro_F1,weighted_F1,kappa,within_1_band
Behaviour-focused,ZeroR (baseline),0.28971334971334967,0.002731143632745017,0.11231630510846746,0.13015716223761029,0.0,0.776173285198556
Behaviour-focused,OneR-like (depth-1 tree),0.2818891618891619,0.02835816193496138,0.1798671926182467,0.18756543641303125,0.026896339228082433,0.7220216606498195
Behaviour-focused,Naive Bayes,0.23824460824460825,0.03365291196594932,0.2011554689229037,0.18941981651135054,0.0327946423981208,0.575812274368231
Behaviour-focused,Logistic Regression,0.2911902811902812,0.03520724192812367,0.27198911247828744,0.27618234147522364,0.025086139419451703,0.7436823104693141
Behaviour-focused,k-NN (k=25),0.29905541905541905,0.03639651516319808,0.2418999171372468,0.2572548613185152,0.03476952782954257,0.7436823104693141
Behaviour-focused,Decision Tree (J48-like),0.2659404859404859,0.03847726358957645,0.2643928868134564,0.2718863672744562,0.02594479666422478,0.6976534296028881
Behaviour-focused,Random Forest,0.30956592956592954,0.04201712285025071,0.279042825065016,0.2888039155208214,0.05038329086865223,0.7274368231046932
Behaviour-focused,Gradient Boosting,0.28036582036582036,0.03908747474951838,0.25838896161646885,0.2642433438914151,0.011729408646438344,0.7003610108303249
Behaviour-focused,SVM (RBF),0.31196560196560197,0.042814682599771295,0.2838968204480364,0.29187271860135394,0.05359942806061058,0.7148014440433214
