experiment,model,accuracy,acc_std,macro_F1,weighted_F1,kappa,within_1_band
Primary (with previous CGPA),ZeroR (baseline),0.27391304347826095,0.019924242151981925,0.1075085324232082,0.11779195726368899,0.0,0.7391304347826086
Primary (with previous CGPA),OneR-like (depth-1 tree),0.3913043478260871,0.03549985134468374,0.27129661306876496,0.27593845909751247,0.17134180863657422,0.7217391304347827
Primary (with previous CGPA),Naive Bayes,0.29710144927536236,0.057333450564789806,0.2339959278124561,0.24017539130773832,0.042131888908761184,0.7086956521739131
Primary (with previous CGPA),Logistic Regression,0.3956521739130435,0.1084635202438705,0.40231161002652027,0.40777437652530546,0.2191735704694585,0.7913043478260869
Primary (with previous CGPA),k-NN (k=15),0.3869565217391305,0.09679814191012491,0.3775380607445354,0.3786089805083006,0.17085554709317075,0.7869565217391304
Primary (with previous CGPA),Decision Tree (J48-like),0.43478260869565216,0.09459228331640995,0.4131814070145142,0.4155211903114682,0.21541377132027795,0.7869565217391304
Primary (with previous CGPA),Random Forest,0.5101449275362319,0.0777222474074894,0.4993507543275336,0.5046085061050719,0.35092670276866755,0.8130434782608695
Primary (with previous CGPA),Gradient Boosting,0.46666666666666673,0.08244326175842255,0.47117469341237006,0.47509588216503035,0.3021315330349693,0.8391304347826087
Primary (with previous CGPA),SVM (RBF),0.45217391304347826,0.06791521457310135,0.42819979146889225,0.434137808299257,0.25787601626016254,0.8
