experiment,model,accuracy,acc_std,macro_F1,weighted_F1,kappa,within_1_band
Behaviour-focused,ZeroR (baseline),0.27391304347826095,0.019924242151981925,0.1075085324232082,0.11779195726368899,0.0,0.7391304347826086
Behaviour-focused,OneR-like (depth-1 tree),0.31449275362318846,0.044457570000515846,0.20180993909191586,0.21563989599884445,0.065857796514318,0.6043478260869565
Behaviour-focused,Naive Bayes,0.2840579710144928,0.04858856409924699,0.21566750715262037,0.22199694590216032,0.02352941176470591,0.6956521739130435
Behaviour-focused,Logistic Regression,0.3217391304347826,0.09696074599233467,0.2927113869736821,0.30167216959804277,0.0780627647969151,0.6782608695652174
Behaviour-focused,k-NN (k=15),0.30289855072463767,0.09881677642742484,0.2742712219799663,0.2804085680719139,0.04987581732475033,0.6739130434782609
Behaviour-focused,Decision Tree (J48-like),0.3115942028985508,0.09662439594656975,0.2851970056224478,0.2904628292273282,0.06250791159269864,0.6695652173913044
Behaviour-focused,Random Forest,0.3492753623188405,0.06398185523085251,0.30587700427892983,0.31436455745889225,0.10437504772085204,0.7043478260869566
Behaviour-focused,Gradient Boosting,0.34492753623188405,0.07440868204633876,0.3201854568230091,0.32149147872817213,0.09256449165402125,0.6739130434782609
Behaviour-focused,SVM (RBF),0.3188405797101449,0.08121116362969218,0.2720407738239894,0.2793585262705371,0.05677679003540581,0.6478260869565218
