experiment,model,accuracy,acc_std,macro_F1,weighted_F1,kappa,within_1_band
Primary (with prior SGPA),ZeroR (baseline),0.28971334971334967,0.002731143632745017,0.11231630510846746,0.13015716223761029,0.0,0.776173285198556
Primary (with prior SGPA),OneR-like (depth-1 tree),0.3447720447720448,0.026133359489401153,0.26294432910807847,0.2810250518920838,0.08296013864037399,0.8357400722021661
Primary (with prior SGPA),Naive Bayes,0.2451815451815452,0.03662312042645408,0.21485323453036573,0.20241912752236166,0.04908270260175451,0.5893501805054152
Primary (with prior SGPA),Logistic Regression,0.3582937482937484,0.039001994703509214,0.3493434672932092,0.35162873278301815,0.12838243905869062,0.7861010830324909
Primary (with prior SGPA),k-NN (k=25),0.35799617799617806,0.037609618233757074,0.3017642260205765,0.31545459549292454,0.10878544988850392,0.8023465703971119
Primary (with prior SGPA),Decision Tree (J48-like),0.43257712257712255,0.044923598143250074,0.4267953029791627,0.42895138152587053,0.23422757435119046,0.7824909747292419
Primary (with prior SGPA),Random Forest,0.43592956592956594,0.04430756155082513,0.4262952805517401,0.42926046281855595,0.23027216810421813,0.7942238267148014
Primary (with prior SGPA),Gradient Boosting,0.43410592410592413,0.04079807282782765,0.43151567014657316,0.4330385893624727,0.237460671620773,0.7806859205776173
Primary (with prior SGPA),SVM (RBF),0.4124324324324325,0.04451577174979096,0.3923622220875168,0.39670804929993586,0.19163394562547387,0.7815884476534296
