university,department_grouped,academic_progress,academic_year,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,admission_satisfaction,desired_department_match,career_expectation,discipline_index,wellbeing_index,environment_index,motivation_index,current_cgpa_band
CUET,EEE,0.875,4,75-89%,3-6 hrs,Occasionally when necessary,Most of it,7-8 hrs,Almost always,6-10 hrs,Rarely,Neither good nor bad,Good support,Difficult to manage,Satisfied,Close to what I wanted,Somewhat,0.375,0.333,0.625,0.667,C2_3_50_to_3_74
BRAC,CSE,0.833,4,60-74%,Less than 3 hrs,Occasionally when necessary,About half,6-7 hrs,Often,1-5 hrs,Sometimes,Neither good nor bad,Very little support,Average,Satisfied,"Yes, exactly what I wanted",Completely,0.125,0.417,0.375,0.917,C3_3_75_plus
BRAC,CSE,0.833,4,90% or more,7-10 hrs,Mostly just before exams,Most of it,6-7 hrs,Never,1-5 hrs,Almost every day,Mostly suitable,Some support,Average,Satisfied,Close to what I wanted,Mostly,0.438,0.667,0.625,0.75,C0_below_3_20
CUET,ECE,0.875,4,75-89%,7-10 hrs,Occasionally when necessary,Most of it,6-7 hrs,Sometimes,1-5 hrs,Often,Neither good nor bad,Some support,Average,Very satisfied,Close to what I wanted,Somewhat,0.312,0.5,0.5,0.75,C1_3_20_to_3_49
BRAC,CSE,0.917,4,60-74%,7-10 hrs,Occasionally when necessary,Almost everything,7-8 hrs,Often,1-5 hrs,Often,Neither good nor bad,Very little support,Average,Dissatisfied,Close to what I wanted,Mostly,0.188,0.5,0.375,0.583,C3_3_75_plus
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Occasionally when necessary,Most of it,5-6 hrs,Rarely,none,Often,Very distracting,Good support,Mostly manageable,Very satisfied,"Yes, exactly what I wanted",Slightly,0.312,0.583,0.375,0.75,C2_3_50_to_3_74
CUET,CSE,0.875,4,90% or more,3-6 hrs,Regularly but not every day,Most of it,Less than 5 hrs,Rarely,1-5 hrs,Almost every day,Mostly suitable,Good support,Completely unmanageable,Satisfied,Close to what I wanted,Mostly,0.438,0.25,0.75,0.75,C2_3_50_to_3_74
BRAC,CSE,0.917,4,90% or more,11-15 hrs,Mostly just before exams,Most of it,5-6 hrs,Often,1-5 hrs,Often,Mostly suitable,Good support,Difficult to manage,Neutral,Close to what I wanted,Slightly,0.562,0.25,0.75,0.5,C1_3_20_to_3_49
BRAC,CSE,0.917,4,60-74%,7-10 hrs,Mostly just before exams,About half,6-7 hrs,Never,6-10 hrs,Often,Mostly suitable,Some support,Difficult to manage,Satisfied,Close to what I wanted,Completely,0.25,0.583,0.625,0.833,C0_below_3_20
BUET,CSE,0.875,4,90% or more,7-10 hrs,Mostly consistent routine,Most of it,7-8 hrs,Sometimes,6-10 hrs,Sometimes,Somewhat distracting,No support,Very healthy and balanced,Very satisfied,"Yes, exactly what I wanted",Completely,0.688,0.75,0.125,1.0,C0_below_3_20
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Regularly but not every day,Most of it,5-6 hrs,Rarely,1-5 hrs,Sometimes,Excellent for focused study,Very little support,Mostly manageable,Satisfied,"Yes, exactly what I wanted",Not at all,0.438,0.583,0.625,0.583,C1_3_20_to_3_49
BUET,CSE,0.875,4,75-89%,7-10 hrs,Occasionally when necessary,A little,5-6 hrs,Sometimes,6-10 hrs,Rarely,Neither good nor bad,Very little support,Difficult to manage,Satisfied,"Yes, exactly what I wanted",Mostly,0.438,0.333,0.375,0.833,C3_3_75_plus
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Occasionally when necessary,Most of it,6-7 hrs,Often,1-5 hrs,Often,Somewhat distracting,Good support,Very healthy and balanced,Neutral,"Yes, exactly what I wanted",Mostly,0.25,0.583,0.5,0.75,C2_3_50_to_3_74
BRAC,EEE,0.917,4,90% or more,Less than 3 hrs,Occasionally when necessary,Almost everything,5-6 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Good support,Mostly manageable,Satisfied,"Yes, exactly what I wanted",Somewhat,0.312,0.333,0.75,0.75,C2_3_50_to_3_74
BRAC,CSE,0.917,4,75-89%,Less than 3 hrs,Mostly just before exams,Most of it,5-6 hrs,Almost always,none,Sometimes,Excellent for focused study,Some support,Average,Neutral,"Yes, exactly what I wanted",Somewhat,0.312,0.25,0.75,0.667,C0_below_3_20
BUET,ChE,1.375,4,90% or more,More than 15 hrs,Mostly just before exams,A little,7-8 hrs,Never,6-10 hrs,Rarely,Mostly suitable,Good support,Difficult to manage,Neutral,Not at all what I wanted,Somewhat,0.75,0.667,0.75,0.333,C0_below_3_20
BUET,MME,1.375,4,90% or more,3-6 hrs,Consistent throughout the semester,Almost everything,7-8 hrs,Often,11-15 hrs,Sometimes,Excellent for focused study,Strong support,Mostly manageable,Satisfied,Close to what I wanted,Slightly,0.688,0.583,1.0,0.583,C0_below_3_20
BRAC,EEE,0.917,4,90% or more,Less than 3 hrs,Occasionally when necessary,About half,6-7 hrs,Sometimes,1-5 hrs,Almost every day,Somewhat distracting,Some support,Very healthy and balanced,Neutral,Close to what I wanted,Mostly,0.25,0.667,0.375,0.667,C3_3_75_plus
BUET,NCE,0.5,2,60-74%,3-6 hrs,Regularly but not every day,A little,More than 8 hrs,Never,6-10 hrs,Almost every day,Somewhat distracting,Good support,Difficult to manage,Very satisfied,"Yes, exactly what I wanted",Mostly,0.188,0.75,0.5,0.917,C3_3_75_plus
BUET,PMRE,0.625,3,90% or more,More than 15 hrs,Mostly just before exams,Most of it,7-8 hrs,Almost always,6-10 hrs,Rarely,Neither good nor bad,No support,Average,Neutral,Mostly different,Completely,0.75,0.417,0.25,0.583,C1_3_20_to_3_49
BRAC,EEE,0.833,4,90% or more,7-10 hrs,Occasionally when necessary,About half,6-7 hrs,Sometimes,1-5 hrs,Rarely,Mostly suitable,Some support,Mostly manageable,Satisfied,Somewhat different,Not at all,0.562,0.583,0.625,0.417,C1_3_20_to_3_49
BUET,ME,0.75,3,60-74%,More than 15 hrs,Mostly consistent routine,Almost nothing,7-8 hrs,Almost always,none,Almost every day,Mostly suitable,Very little support,Completely unmanageable,Neutral,Somewhat different,Slightly,0.438,0.25,0.5,0.417,C0_below_3_20
BUET,IPE,0.125,1,60-74%,7-10 hrs,Occasionally when necessary,Almost everything,6-7 hrs,Never,11-15 hrs,Rarely,Very distracting,Some support,Completely unmanageable,Satisfied,Not at all what I wanted,Somewhat,0.312,0.5,0.25,0.417,C2_3_50_to_3_74
BUET,Other,1.125,4,75-89%,3-6 hrs,Occasionally when necessary,Almost nothing,6-7 hrs,Sometimes,6-10 hrs,Rarely,Neither good nor bad,No support,Very healthy and balanced,Satisfied,Somewhat different,Somewhat,0.375,0.667,0.25,0.583,C3_3_75_plus
BUET,Other,1.25,4,60-74%,Less than 3 hrs,Consistent throughout the semester,Most of it,Less than 5 hrs,Rarely,none,Sometimes,Excellent for focused study,Good support,Very healthy and balanced,Very satisfied,Not at all what I wanted,Completely,0.375,0.583,0.875,0.667,C0_below_3_20
BUET,EEE,0.375,2,75-89%,11-15 hrs,Mostly just before exams,About half,7-8 hrs,Often,1-5 hrs,Almost every day,Neither good nor bad,No support,Average,Very satisfied,Mostly different,Not at all,0.375,0.5,0.25,0.417,C0_below_3_20
BUET,CSE,0.5,2,75-89%,7-10 hrs,Occasionally when necessary,A little,7-8 hrs,Rarely,none,Never,Somewhat distracting,No support,Average,Satisfied,"Yes, exactly what I wanted",Completely,0.5,0.667,0.125,0.917,C2_3_50_to_3_74
BUET,BME,0.5,2,90% or more,7-10 hrs,Mostly just before exams,Most of it,6-7 hrs,Often,1-5 hrs,Often,Somewhat distracting,Some support,Completely unmanageable,Very satisfied,Somewhat different,Not at all,0.5,0.25,0.375,0.5,C0_below_3_20
BUET,Other,0.125,1,90% or more,3-6 hrs,Regularly but not every day,Most of it,7-8 hrs,Rarely,none,Rarely,Mostly suitable,Good support,Difficult to manage,Satisfied,Somewhat different,Somewhat,0.625,0.583,0.75,0.583,C0_below_3_20
BUET,Other,0.125,1,75-89%,More than 15 hrs,Occasionally when necessary,A little,More than 8 hrs,Sometimes,none,Never,Very distracting,Good support,Average,Neutral,Close to what I wanted,Not at all,0.625,0.667,0.375,0.417,C3_3_75_plus
BUET,CE,0.625,3,75-89%,More than 15 hrs,Regularly but not every day,Most of it,7-8 hrs,Rarely,11-15 hrs,Almost every day,Neither good nor bad,Strong support,Difficult to manage,Satisfied,Somewhat different,Somewhat,0.5,0.583,0.75,0.583,C2_3_50_to_3_74
BUET,Other,1.25,4,75-89%,More than 15 hrs,Regularly but not every day,Almost everything,More than 8 hrs,Almost always,1-5 hrs,Rarely,Neither good nor bad,Some support,Difficult to manage,Satisfied,Close to what I wanted,Completely,0.688,0.417,0.5,0.833,C0_below_3_20
BUET,ChE,1.0,4,75-89%,7-10 hrs,Regularly but not every day,Almost nothing,7-8 hrs,Often,11-15 hrs,Never,Mostly suitable,Some support,Mostly manageable,Very satisfied,Somewhat different,Mostly,0.625,0.583,0.625,0.75,C2_3_50_to_3_74
BUET,MME,1.25,4,60-74%,3-6 hrs,Regularly but not every day,About half,More than 8 hrs,Often,1-5 hrs,Often,Neither good nor bad,Some support,Completely unmanageable,Satisfied,Close to what I wanted,Completely,0.25,0.417,0.5,0.833,C0_below_3_20
BUET,NCE,0.875,4,90% or more,7-10 hrs,Mostly consistent routine,About half,7-8 hrs,Sometimes,More than 15 hrs,Sometimes,Mostly suitable,Good support,Mostly manageable,Satisfied,Not at all what I wanted,Somewhat,0.688,0.667,0.75,0.417,C0_below_3_20
BUET,PMRE,1.0,4,60-74%,11-15 hrs,Regularly but not every day,About half,Less than 5 hrs,Almost always,1-5 hrs,Sometimes,Neither good nor bad,Some support,Average,Neutral,Not at all what I wanted,Completely,0.438,0.167,0.5,0.5,C1_3_20_to_3_49
BUET,ME,1.5,4,60-74%,11-15 hrs,Mostly just before exams,Most of it,More than 8 hrs,Often,6-10 hrs,Never,Very distracting,Good support,Mostly manageable,Very satisfied,Mostly different,Mostly,0.5,0.667,0.375,0.667,C2_3_50_to_3_74
BRAC,CSE,0.917,4,90% or more,3-6 hrs,Occasionally when necessary,A little,5-6 hrs,Sometimes,6-10 hrs,Sometimes,Neither good nor bad,Good support,Average,Satisfied,"Yes, exactly what I wanted",Somewhat,0.438,0.417,0.625,0.75,C2_3_50_to_3_74
BUET,IPE,0.75,3,75-89%,Less than 3 hrs,Mostly just before exams,Most of it,Less than 5 hrs,Never,none,Rarely,Very distracting,Some support,Mostly manageable,Neutral,Not at all what I wanted,Somewhat,0.375,0.583,0.25,0.333,C0_below_3_20
BUET,Other,1.375,4,90% or more,3-6 hrs,Regularly but not every day,A little,7-8 hrs,Never,11-15 hrs,Sometimes,Excellent for focused study,Some support,Average,Very satisfied,"Yes, exactly what I wanted",Somewhat,0.562,0.75,0.75,0.833,C0_below_3_20
BRAC,EEE,0.833,4,90% or more,Less than 3 hrs,Mostly just before exams,Almost everything,6-7 hrs,Almost always,11-15 hrs,Often,Mostly suitable,Strong support,Average,Satisfied,Not at all what I wanted,Slightly,0.375,0.333,0.875,0.333,C3_3_75_plus
BUET,Other,0.125,1,75-89%,7-10 hrs,Mostly just before exams,Almost everything,6-7 hrs,Rarely,11-15 hrs,Almost every day,Mostly suitable,Good support,Average,Very satisfied,"Yes, exactly what I wanted",Completely,0.312,0.583,0.75,1.0,C0_below_3_20
BUET,EEE,0.625,3,90% or more,3-6 hrs,Occasionally when necessary,Almost nothing,5-6 hrs,Often,6-10 hrs,Often,Neither good nor bad,Strong support,Average,Neutral,Mostly different,Not at all,0.375,0.333,0.75,0.25,C3_3_75_plus
BUET,CSE,1.375,4,90% or more,Less than 3 hrs,Occasionally when necessary,Almost everything,6-7 hrs,Rarely,11-15 hrs,Sometimes,Mostly suitable,Very little support,Mostly manageable,Very satisfied,"Yes, exactly what I wanted",Completely,0.375,0.667,0.5,1.0,C0_below_3_20
BRAC,ECE,0.917,4,90% or more,3-6 hrs,Regularly but not every day,About half,Less than 5 hrs,Rarely,1-5 hrs,Sometimes,Very distracting,Some support,Average,Satisfied,Somewhat different,Slightly,0.562,0.417,0.25,0.5,C0_below_3_20
BUET,BME,0.5,2,75-89%,Less than 3 hrs,Regularly but not every day,A little,Less than 5 hrs,Often,6-10 hrs,Almost every day,Somewhat distracting,Good support,Very healthy and balanced,Neutral,Mostly different,Mostly,0.25,0.417,0.5,0.5,C2_3_50_to_3_74
BUET,Other,0.125,1,75-89%,3-6 hrs,Mostly consistent routine,Almost everything,Less than 5 hrs,Rarely,6-10 hrs,Never,Very distracting,Good support,Mostly manageable,Satisfied,Not at all what I wanted,Slightly,0.625,0.5,0.375,0.333,C1_3_20_to_3_49
BUET,Other,1.125,4,60-74%,3-6 hrs,Regularly but not every day,About half,6-7 hrs,Almost always,More than 15 hrs,Rarely,Very distracting,Strong support,Very healthy and balanced,Satisfied,"Yes, exactly what I wanted",Slightly,0.375,0.5,0.5,0.667,C0_below_3_20
BRAC,ECE,0.833,4,90% or more,Less than 3 hrs,Regularly but not every day,Almost nothing,7-8 hrs,Sometimes,none,Sometimes,Somewhat distracting,Good support,Mostly manageable,Satisfied,"Yes, exactly what I wanted",Mostly,0.5,0.667,0.5,0.833,C0_below_3_20
BUET,CE,1.5,4,90% or more,Less than 3 hrs,Mostly consistent routine,Most of it,5-6 hrs,Rarely,none,Often,Excellent for focused study,No support,Mostly manageable,Satisfied,"Yes, exactly what I wanted",Slightly,0.5,0.583,0.5,0.667,C0_below_3_20
BRAC,EEE,0.917,4,90% or more,3-6 hrs,Mostly just before exams,A little,6-7 hrs,Often,6-10 hrs,Almost every day,Very distracting,Some support,Mostly manageable,Satisfied,Mostly different,Slightly,0.375,0.5,0.25,0.417,C0_below_3_20
BUET,Other,0.25,1,90% or more,11-15 hrs,Consistent throughout the semester,Almost nothing,6-7 hrs,Rarely,none,Often,Somewhat distracting,No support,Very healthy and balanced,Very satisfied,Close to what I wanted,Slightly,0.75,0.75,0.125,0.667,C3_3_75_plus
BUET,ChE,0.375,2,75-89%,3-6 hrs,Occasionally when necessary,Most of it,6-7 hrs,Sometimes,More than 15 hrs,Often,Very distracting,Strong support,Mostly manageable,Very satisfied,Close to what I wanted,Completely,0.25,0.583,0.5,0.917,C3_3_75_plus
BUET,MME,1.5,4,75-89%,Less than 3 hrs,Regularly but not every day,About half,Less than 5 hrs,Almost always,More than 15 hrs,Almost every day,Neither good nor bad,No support,Completely unmanageable,Very satisfied,"Yes, exactly what I wanted",Somewhat,0.25,0.0,0.25,0.833,C3_3_75_plus
BUET,NCE,1.5,4,75-89%,11-15 hrs,Consistent throughout the semester,Most of it,Less than 5 hrs,Sometimes,11-15 hrs,Never,Very distracting,No support,Average,Neutral,Not at all what I wanted,Slightly,0.812,0.333,0.0,0.25,C3_3_75_plus
BRAC,CSE,0.833,4,90% or more,Less than 3 hrs,Regularly but not every day,A little,6-7 hrs,Sometimes,6-10 hrs,Almost every day,Mostly suitable,Good support,Average,Neutral,Close to what I wanted,Mostly,0.375,0.5,0.75,0.667,C3_3_75_plus
BUET,PMRE,0.875,4,75-89%,Less than 3 hrs,Regularly but not every day,Almost everything,More than 8 hrs,Rarely,More than 15 hrs,Never,Somewhat distracting,No support,Mostly manageable,Neutral,Not at all what I wanted,Mostly,0.5,0.833,0.125,0.417,C1_3_20_to_3_49
BUET,ME,1.375,4,60-74%,Less than 3 hrs,Regularly but not every day,A little,Less than 5 hrs,Rarely,More than 15 hrs,Almost every day,Somewhat distracting,Very little support,Very healthy and balanced,Satisfied,Somewhat different,Mostly,0.125,0.583,0.25,0.667,C3_3_75_plus
BRAC,CSE,0.917,4,90% or more,3-6 hrs,Mostly just before exams,Most of it,6-7 hrs,Often,11-15 hrs,Often,Somewhat distracting,Strong support,Average,Satisfied,Close to what I wanted,Somewhat,0.438,0.417,0.625,0.667,C0_below_3_20
BUET,IPE,1.375,4,75-89%,7-10 hrs,Mostly just before exams,Most of it,More than 8 hrs,Almost always,1-5 hrs,Rarely,Very distracting,Some support,Mostly manageable,Very satisfied,Close to what I wanted,Completely,0.5,0.583,0.25,0.917,C0_below_3_20
BRAC,CSE,0.917,4,75-89%,3-6 hrs,Occasionally when necessary,Almost everything,7-8 hrs,Almost always,6-10 hrs,Often,Somewhat distracting,Very little support,Average,Very satisfied,Close to what I wanted,Mostly,0.25,0.417,0.25,0.833,C1_3_20_to_3_49
BUET,Other,0.625,3,75-89%,More than 15 hrs,Mostly just before exams,Almost everything,Less than 5 hrs,Sometimes,More than 15 hrs,Almost every day,Mostly suitable,Good support,Mostly manageable,Satisfied,Close to what I wanted,Not at all,0.438,0.417,0.75,0.5,C0_below_3_20
BUET,Other,1.125,4,60-74%,Less than 3 hrs,Mostly just before exams,Almost everything,6-7 hrs,Sometimes,1-5 hrs,Never,Somewhat distracting,No support,Very healthy and balanced,Neutral,Mostly different,Mostly,0.312,0.667,0.125,0.5,C0_below_3_20
BUET,EEE,0.5,2,90% or more,3-6 hrs,Mostly consistent routine,A little,5-6 hrs,Rarely,More than 15 hrs,Almost every day,Mostly suitable,Some support,Difficult to manage,Very satisfied,Close to what I wanted,Completely,0.5,0.417,0.625,0.917,C3_3_75_plus
BRAC,CSE,0.917,4,90% or more,Less than 3 hrs,Occasionally when necessary,Most of it,7-8 hrs,Sometimes,6-10 hrs,Sometimes,Mostly suitable,Some support,Average,Satisfied,Somewhat different,Somewhat,0.375,0.583,0.625,0.583,C2_3_50_to_3_74
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Regularly but not every day,About half,5-6 hrs,Rarely,More than 15 hrs,Almost every day,Mostly suitable,Good support,Average,Neutral,Somewhat different,Somewhat,0.375,0.5,0.75,0.5,C1_3_20_to_3_49
BUET,CSE,0.375,2,90% or more,Less than 3 hrs,Consistent throughout the semester,Most of it,More than 8 hrs,Almost always,More than 15 hrs,Rarely,Excellent for focused study,Strong support,Very healthy and balanced,Very satisfied,"Yes, exactly what I wanted",Mostly,0.688,0.667,1.0,0.917,C2_3_50_to_3_74
BRAC,CSE,0.833,4,90% or more,7-10 hrs,Regularly but not every day,A little,5-6 hrs,Almost always,6-10 hrs,Sometimes,Somewhat distracting,Some support,Average,Satisfied,"Yes, exactly what I wanted",Slightly,0.625,0.25,0.375,0.667,C2_3_50_to_3_74
BUET,BME,0.625,3,90% or more,7-10 hrs,Regularly but not every day,Most of it,5-6 hrs,Never,1-5 hrs,Almost every day,Mostly suitable,Very little support,Average,Very satisfied,Somewhat different,Completely,0.5,0.583,0.5,0.833,C0_below_3_20
BUET,Other,0.75,3,90% or more,7-10 hrs,Occasionally when necessary,Most of it,6-7 hrs,Sometimes,1-5 hrs,Often,Excellent for focused study,Good support,Completely unmanageable,Neutral,Close to what I wanted,Mostly,0.438,0.333,0.875,0.667,C2_3_50_to_3_74
BRAC,CSE,0.833,4,75-89%,Less than 3 hrs,Occasionally when necessary,Most of it,6-7 hrs,Often,none,Almost every day,Neither good nor bad,Good support,Average,Neutral,Close to what I wanted,Somewhat,0.125,0.417,0.625,0.583,C1_3_20_to_3_49
BUET,Other,0.375,2,60-74%,3-6 hrs,Mostly consistent routine,Most of it,6-7 hrs,Never,none,Often,Neither good nor bad,No support,Average,Neutral,Not at all what I wanted,Slightly,0.312,0.667,0.25,0.25,C1_3_20_to_3_49
BUET,CE,1.25,4,60-74%,More than 15 hrs,Regularly but not every day,Almost everything,More than 8 hrs,Often,1-5 hrs,Rarely,Excellent for focused study,No support,Mostly manageable,Satisfied,Not at all what I wanted,Not at all,0.562,0.667,0.5,0.25,C1_3_20_to_3_49
BRAC,EEE,0.917,4,75-89%,7-10 hrs,Regularly but not every day,Almost nothing,6-7 hrs,Almost always,1-5 hrs,Sometimes,Mostly suitable,Good support,Difficult to manage,Satisfied,Close to what I wanted,Mostly,0.5,0.25,0.75,0.75,C3_3_75_plus
BUET,Other,1.25,4,75-89%,3-6 hrs,Mostly just before exams,A little,More than 8 hrs,Almost always,11-15 hrs,Rarely,Excellent for focused study,No support,Completely unmanageable,Neutral,Not at all what I wanted,Not at all,0.438,0.333,0.5,0.167,C3_3_75_plus
BUET,ChE,0.125,1,60-74%,3-6 hrs,Regularly but not every day,A little,6-7 hrs,Almost always,6-10 hrs,Rarely,Very distracting,Very little support,Mostly manageable,Very satisfied,"Yes, exactly what I wanted",Slightly,0.375,0.417,0.125,0.75,C2_3_50_to_3_74
BUET,MME,1.5,4,90% or more,3-6 hrs,Regularly but not every day,About half,5-6 hrs,Often,6-10 hrs,Rarely,Mostly suitable,Very little support,Completely unmanageable,Neutral,Not at all what I wanted,Mostly,0.625,0.167,0.5,0.417,C1_3_20_to_3_49
BRAC,CSE,0.833,4,75-89%,Less than 3 hrs,Mostly consistent routine,Almost nothing,Less than 5 hrs,Sometimes,6-10 hrs,Sometimes,Mostly suitable,Some support,Mostly manageable,Satisfied,"Yes, exactly what I wanted",Mostly,0.438,0.417,0.625,0.833,C1_3_20_to_3_49
BUET,NCE,0.375,2,90% or more,11-15 hrs,Regularly but not every day,Almost everything,5-6 hrs,Never,none,Sometimes,Very distracting,No support,Mostly manageable,Satisfied,"Yes, exactly what I wanted",Not at all,0.688,0.667,0.0,0.583,C0_below_3_20
BUET,PMRE,0.75,3,90% or more,3-6 hrs,Mostly consistent routine,A little,6-7 hrs,Almost always,1-5 hrs,Rarely,Mostly suitable,Very little support,Completely unmanageable,Neutral,Mostly different,Not at all,0.688,0.167,0.5,0.25,C0_below_3_20
BRAC,CSE,0.917,4,75-89%,Less than 3 hrs,Occasionally when necessary,About half,5-6 hrs,Sometimes,1-5 hrs,Sometimes,Mostly suitable,Strong support,Completely unmanageable,Very satisfied,"Yes, exactly what I wanted",Mostly,0.25,0.25,0.875,0.917,C1_3_20_to_3_49
BUET,ME,0.625,3,90% or more,11-15 hrs,Regularly but not every day,Almost everything,7-8 hrs,Rarely,none,Often,Very distracting,No support,Average,Neutral,Mostly different,Somewhat,0.625,0.667,0.0,0.417,C0_below_3_20
BRAC,CSE,0.833,4,90% or more,7-10 hrs,Occasionally when necessary,Almost everything,6-7 hrs,Sometimes,6-10 hrs,Sometimes,Mostly suitable,Some support,Difficult to manage,Satisfied,"Yes, exactly what I wanted",Somewhat,0.5,0.417,0.625,0.75,C1_3_20_to_3_49
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Regularly but not every day,About half,7-8 hrs,Sometimes,6-10 hrs,Almost every day,Somewhat distracting,Good support,Average,Dissatisfied,"Yes, exactly what I wanted",Not at all,0.375,0.583,0.5,0.417,C1_3_20_to_3_49
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Regularly but not every day,Almost nothing,6-7 hrs,Rarely,6-10 hrs,Often,Excellent for focused study,Very little support,Average,Neutral,Somewhat different,Mostly,0.5,0.583,0.625,0.583,C1_3_20_to_3_49
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Mostly consistent routine,A little,5-6 hrs,Often,11-15 hrs,Often,Mostly suitable,Very little support,Difficult to manage,Satisfied,Close to what I wanted,Mostly,0.5,0.25,0.5,0.75,C2_3_50_to_3_74
BRAC,ECE,0.833,4,90% or more,3-6 hrs,Mostly just before exams,Almost nothing,7-8 hrs,Often,none,Often,Mostly suitable,Some support,Average,Satisfied,Close to what I wanted,Somewhat,0.438,0.5,0.625,0.667,C1_3_20_to_3_49
CUET,CSE,0.875,4,75-89%,More than 15 hrs,Mostly consistent routine,Most of it,5-6 hrs,Rarely,none,Rarely,Neither good nor bad,Good support,Average,Neutral,"Yes, exactly what I wanted",Somewhat,0.75,0.5,0.625,0.667,C3_3_75_plus
CUET,CSE,0.875,4,75-89%,More than 15 hrs,Regularly but not every day,Most of it,5-6 hrs,Rarely,11-15 hrs,Rarely,Somewhat distracting,Very little support,Mostly manageable,Satisfied,"Yes, exactly what I wanted",Somewhat,0.688,0.583,0.25,0.75,C2_3_50_to_3_74
CUET,CSE,0.875,4,90% or more,More than 15 hrs,Regularly but not every day,Most of it,6-7 hrs,Rarely,11-15 hrs,Sometimes,Neither good nor bad,Good support,Mostly manageable,Neutral,"Yes, exactly what I wanted",Somewhat,0.75,0.667,0.625,0.667,C2_3_50_to_3_74
CUET,BME,0.875,4,75-89%,11-15 hrs,Mostly just before exams,About half,6-7 hrs,Rarely,none,Sometimes,Mostly suitable,Good support,Mostly manageable,Dissatisfied,Somewhat different,Not at all,0.5,0.667,0.75,0.25,C1_3_20_to_3_49
CUET,BME,0.875,4,60-74%,11-15 hrs,Mostly just before exams,About half,6-7 hrs,Rarely,none,Often,Neither good nor bad,Good support,Average,Neutral,Close to what I wanted,Somewhat,0.312,0.583,0.625,0.583,C1_3_20_to_3_49
CUET,BME,0.875,4,75-89%,More than 15 hrs,Regularly but not every day,Most of it,6-7 hrs,Rarely,6-10 hrs,Sometimes,Mostly suitable,Some support,Mostly manageable,Neutral,Somewhat different,Slightly,0.625,0.667,0.625,0.417,C2_3_50_to_3_74
CUET,BME,0.875,4,75-89%,11-15 hrs,Regularly but not every day,Most of it,6-7 hrs,Rarely,6-10 hrs,Sometimes,Mostly suitable,Some support,Average,Neutral,Close to what I wanted,Somewhat,0.562,0.583,0.625,0.583,C1_3_20_to_3_49
CUET,BME,0.875,4,75-89%,More than 15 hrs,Regularly but not every day,About half,6-7 hrs,Sometimes,11-15 hrs,Sometimes,Mostly suitable,Some support,Average,Dissatisfied,Somewhat different,Slightly,0.625,0.5,0.625,0.333,C2_3_50_to_3_74
CUET,EEE,0.875,4,75-89%,11-15 hrs,Occasionally when necessary,Most of it,6-7 hrs,Sometimes,11-15 hrs,Often,Mostly suitable,Good support,Average,Satisfied,"Yes, exactly what I wanted",Somewhat,0.375,0.5,0.75,0.75,C2_3_50_to_3_74
CUET,ECE,0.875,4,75-89%,More than 15 hrs,Mostly consistent routine,Most of it,5-6 hrs,Rarely,6-10 hrs,Sometimes,Mostly suitable,Good support,Mostly manageable,Neutral,Close to what I wanted,Mostly,0.688,0.583,0.75,0.667,C2_3_50_to_3_74
CUET,CE,0.875,4,60-74%,More than 15 hrs,Regularly but not every day,About half,6-7 hrs,Rarely,6-10 hrs,Sometimes,Neither good nor bad,Good support,Average,Neutral,"Yes, exactly what I wanted",Mostly,0.5,0.583,0.625,0.75,C2_3_50_to_3_74
CUET,ECE,0.875,4,90% or more,More than 15 hrs,Mostly consistent routine,Most of it,6-7 hrs,Rarely,none,Rarely,Mostly suitable,Good support,Average,Satisfied,"Yes, exactly what I wanted",Somewhat,0.875,0.583,0.75,0.75,C2_3_50_to_3_74
BUET,ChE,1.0,4,60-74%,More than 15 hrs,Mostly just before exams,Almost nothing,Less than 5 hrs,Sometimes,11-15 hrs,Often,Very distracting,Good support,Difficult to manage,Very satisfied,Somewhat different,Not at all,0.375,0.25,0.375,0.5,C2_3_50_to_3_74
BUET,MME,1.125,4,75-89%,More than 15 hrs,Regularly but not every day,Almost everything,7-8 hrs,Often,1-5 hrs,Sometimes,Somewhat distracting,Good support,Difficult to manage,Very satisfied,"Yes, exactly what I wanted",Completely,0.625,0.417,0.5,1.0,C3_3_75_plus
BUET,NCE,1.5,4,60-74%,More than 15 hrs,Consistent throughout the semester,Almost everything,6-7 hrs,Almost always,6-10 hrs,Often,Somewhat distracting,Strong support,Average,Very satisfied,"Yes, exactly what I wanted",Not at all,0.562,0.333,0.625,0.667,C0_below_3_20
BUET,PMRE,0.625,3,75-89%,More than 15 hrs,Consistent throughout the semester,A little,6-7 hrs,Never,6-10 hrs,Almost every day,Very distracting,No support,Difficult to manage,Neutral,Somewhat different,Not at all,0.625,0.583,0.0,0.333,C0_below_3_20
