university,department_grouped,academic_progress,academic_year,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,admission_satisfaction,desired_department_match,career_expectation,discipline_index,wellbeing_index,environment_index,motivation_index,current_cgpa_band
BRAC,CSE,0.917,4,90% or more,7-10 hrs,Mostly consistent routine,About half,6-7 hrs,Sometimes,1-5 hrs,Often,Excellent for focused study,Good support,Mostly manageable,Very satisfied,Close to what I wanted,Mostly,0.625,0.583,0.875,0.833,C2_3_50_to_3_74
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Occasionally when necessary,A little,Less than 5 hrs,Almost always,6-10 hrs,Almost every day,Mostly suitable,Strong support,Difficult to manage,Neutral,"Yes, exactly what I wanted",Slightly,0.188,0.083,0.875,0.583,C0_below_3_20
BRAC,CSE,0.917,4,90% or more,7-10 hrs,Regularly but not every day,Most of it,7-8 hrs,Rarely,none,Sometimes,Neither good nor bad,Some support,Mostly manageable,Very dissatisfied,"Yes, exactly what I wanted",Completely,0.625,0.75,0.5,0.667,C3_3_75_plus
BRAC,CSE,0.833,4,60-74%,11-15 hrs,Mostly consistent routine,About half,6-7 hrs,Often,More than 15 hrs,Often,Somewhat distracting,Good support,Average,Very dissatisfied,Somewhat different,Mostly,0.438,0.417,0.5,0.417,C1_3_20_to_3_49
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Regularly but not every day,Most of it,7-8 hrs,Rarely,More than 15 hrs,Almost every day,Neither good nor bad,Very little support,Difficult to manage,Very dissatisfied,Close to what I wanted,Somewhat,0.312,0.583,0.375,0.417,C2_3_50_to_3_74
BRAC,CSE,0.917,4,90% or more,7-10 hrs,Occasionally when necessary,A little,More than 8 hrs,Never,More than 15 hrs,Sometimes,Neither good nor bad,Good support,Average,Very satisfied,Somewhat different,Somewhat,0.5,0.833,0.625,0.667,C2_3_50_to_3_74
BRAC,CSE,0.833,4,60-74%,3-6 hrs,Occasionally when necessary,Most of it,7-8 hrs,Sometimes,1-5 hrs,Often,Neither good nor bad,Strong support,Difficult to manage,Very dissatisfied,Somewhat different,Mostly,0.125,0.5,0.75,0.417,C1_3_20_to_3_49
BRAC,CSE,0.917,4,90% or more,7-10 hrs,Occasionally when necessary,A little,7-8 hrs,Almost always,none,Often,Excellent for focused study,Some support,Difficult to manage,Very dissatisfied,Somewhat different,Mostly,0.438,0.333,0.75,0.417,C3_3_75_plus
BUET,CSE,0.875,4,75-89%,3-6 hrs,Mostly just before exams,About half,Less than 5 hrs,Sometimes,11-15 hrs,Rarely,Mostly suitable,Some support,Mostly manageable,Very satisfied,Not at all what I wanted,Completely,0.438,0.417,0.625,0.667,C0_below_3_20
BUET,CSE,0.875,4,90% or more,7-10 hrs,Consistent throughout the semester,Almost everything,6-7 hrs,Almost always,1-5 hrs,Almost every day,Excellent for focused study,Good support,Mostly manageable,Very dissatisfied,Somewhat different,Mostly,0.625,0.417,0.875,0.417,C3_3_75_plus
