@relation student_performance_behavior

@attribute admission_satisfaction numeric
@attribute desired_department_match numeric
@attribute attendance numeric
@attribute weekly_study_time numeric
@attribute study_style numeric
@attribute topic_clarity numeric
@attribute sleep_duration numeric
@attribute stress_frequency numeric
@attribute weekly_responsibilities numeric
@attribute distraction_frequency numeric
@attribute study_environment numeric
@attribute support_level numeric
@attribute routine_manageability numeric
@attribute career_expectation numeric
@attribute academic_progress numeric
@attribute discipline_index numeric
@attribute wellbeing_index numeric
@attribute environment_index numeric
@attribute motivation_index numeric
@attribute university {BRAC,BUET,CUET}
@attribute department {BME,CE,CSE,ChE,ECE,EEE,IPE,ME,MME,NCE,Other,PMRE}
@attribute current_cgpa_band {C0_below_3_20,C1_3_20_to_3_49,C2_3_50_to_3_74,C3_3_75_plus}

@data
0,4,2,2,0,4,0,2,4,2,2,1,2,2,0.875,0.5,0.333,0.375,0.5,BUET,CSE,C0_below_3_20
0,3,2,3,2,2,3,4,3,3,3,4,2,4,0.875,0.625,0.417,0.875,0.583,BUET,CSE,C3_3_75_plus
0,4,1,1,3,2,1,2,3,1,1,3,1,1,0.833,0.562,0.333,0.5,0.417,BRAC,CSE,C0_below_3_20
0,4,2,0,1,2,2,3,0,3,1,2,2,2,0.917,0.375,0.417,0.375,0.5,BRAC,CSE,C3_3_75_plus
4,4,2,1,3,2,2,1,2,3,3,2,2,2,0.875,0.562,0.583,0.625,0.833,BUET,CSE,C2_3_50_to_3_74
0,3,2,2,1,2,3,3,0,4,1,2,3,3,0.917,0.438,0.583,0.375,0.5,BRAC,CSE,C3_3_75_plus
0,4,0,3,0,2,2,3,0,3,2,2,2,3,0.833,0.25,0.417,0.5,0.583,BRAC,CSE,C3_3_75_plus
2,3,0,2,3,2,2,3,1,3,3,3,1,3,0.917,0.375,0.333,0.75,0.667,BRAC,CSE,C3_3_75_plus
0,2,1,3,1,1,1,2,1,3,2,2,2,3,0.875,0.438,0.417,0.5,0.417,BUET,CSE,C2_3_50_to_3_74
0,1,1,0,0,4,1,1,1,3,3,1,3,2,0.875,0.188,0.583,0.5,0.25,BUET,CSE,C0_below_3_20
2,4,2,1,3,4,3,1,2,3,3,3,2,4,0.833,0.562,0.667,0.75,0.833,BRAC,CSE,C0_below_3_20
4,4,0,3,2,2,3,3,1,4,2,2,1,3,0.917,0.312,0.417,0.5,0.917,BRAC,CSE,C1_3_20_to_3_49
2,4,1,0,3,2,0,1,4,1,3,3,2,2,0.833,0.5,0.417,0.75,0.667,BRAC,CSE,C2_3_50_to_3_74
0,1,2,2,3,2,1,3,1,3,3,0,2,3,0.875,0.625,0.333,0.375,0.333,BUET,CSE,C2_3_50_to_3_74
0,4,2,2,1,2,2,0,2,4,3,2,2,4,0.833,0.438,0.667,0.625,0.667,BRAC,CSE,C0_below_3_20
4,4,2,4,0,2,2,2,4,4,3,2,1,3,0.917,0.5,0.417,0.625,0.917,BRAC,CSE,C1_3_20_to_3_49
0,2,1,2,2,2,3,4,1,3,3,3,1,1,0.833,0.438,0.333,0.75,0.25,BRAC,CSE,C3_3_75_plus
0,3,1,1,2,4,3,1,1,1,2,4,3,2,0.917,0.5,0.75,0.75,0.417,BRAC,CSE,C2_3_50_to_3_74
2,4,1,2,1,0,2,3,4,0,1,2,2,1,0.917,0.562,0.417,0.375,0.583,BRAC,CSE,C2_3_50_to_3_74
0,4,1,0,2,1,2,3,2,1,0,4,2,3,0.833,0.438,0.417,0.5,0.583,BRAC,CSE,C2_3_50_to_3_74
0,3,1,1,1,3,3,3,1,3,2,2,1,1,0.833,0.312,0.417,0.5,0.333,BRAC,CSE,C3_3_75_plus
3,1,1,2,2,2,3,3,1,1,4,2,3,1,0.917,0.562,0.583,0.75,0.417,BRAC,CSE,C3_3_75_plus
3,3,2,1,1,1,1,4,0,3,0,3,2,4,0.833,0.438,0.25,0.375,0.833,BRAC,CSE,C3_3_75_plus
3,2,1,1,1,1,2,3,1,3,1,3,3,3,0.917,0.312,0.5,0.5,0.667,BRAC,CSE,C2_3_50_to_3_74
2,4,1,2,4,2,1,3,1,2,1,2,0,1,0.833,0.625,0.167,0.375,0.583,BRAC,CSE,C2_3_50_to_3_74
3,3,0,0,0,1,0,2,1,3,3,4,2,2,0.917,0.062,0.333,0.875,0.667,BRAC,CSE,C2_3_50_to_3_74
3,0,1,1,2,2,4,3,2,0,4,3,2,3,0.833,0.562,0.583,0.875,0.5,BRAC,CSE,C2_3_50_to_3_74
3,4,1,3,2,2,2,3,3,4,1,3,1,4,0.917,0.438,0.333,0.5,0.917,BRAC,CSE,C2_3_50_to_3_74
2,1,2,2,0,3,3,3,0,2,4,4,0,3,0.833,0.5,0.333,1,0.5,BRAC,CSE,C0_below_3_20
4,4,1,2,3,3,2,2,4,4,1,3,1,1,0.917,0.438,0.417,0.5,0.75,BRAC,CSE,C0_below_3_20
3,4,1,1,1,2,3,3,1,3,0,3,1,3,0.917,0.312,0.417,0.375,0.833,BRAC,EEE,C3_3_75_plus
2,4,1,2,3,0,0,3,2,2,2,4,2,3,0.833,0.562,0.25,0.75,0.75,BRAC,CSE,C1_3_20_to_3_49
2,4,1,0,3,2,3,4,0,2,4,1,1,2,0.833,0.438,0.333,0.625,0.667,BRAC,EEE,C1_3_20_to_3_49
2,2,1,0,3,0,2,1,2,3,2,1,1,3,0.833,0.375,0.5,0.375,0.583,BRAC,CSE,C1_3_20_to_3_49
3,3,2,0,4,1,1,1,0,4,3,1,2,3,0.917,0.5,0.5,0.5,0.75,BRAC,EEE,C2_3_50_to_3_74
2,2,2,1,1,3,2,2,2,3,3,0,2,3,0.833,0.438,0.5,0.375,0.583,BRAC,CSE,C1_3_20_to_3_49
3,4,1,2,1,3,2,4,1,3,3,3,2,3,0.833,0.375,0.333,0.75,0.833,BRAC,ECE,C0_below_3_20
2,3,2,3,1,1,1,2,3,0,1,3,1,3,0.917,0.75,0.333,0.5,0.667,BRAC,EEE,C3_3_75_plus
3,3,2,3,2,2,0,4,1,2,4,1,4,3,0.917,0.688,0.333,0.625,0.75,BRAC,CSE,C1_3_20_to_3_49
2,3,2,2,3,1,2,1,2,3,1,2,2,4,0.833,0.625,0.583,0.375,0.75,BRAC,EEE,C1_3_20_to_3_49
1,4,1,0,4,4,2,2,0,4,4,2,1,1,0.917,0.375,0.417,0.75,0.5,BRAC,ECE,C3_3_75_plus
2,4,1,1,2,1,2,3,0,3,1,2,3,2,0.917,0.375,0.5,0.375,0.667,BRAC,CSE,C0_below_3_20
4,3,1,2,1,3,3,2,2,3,4,2,2,2,0.917,0.375,0.583,0.75,0.75,BRAC,ECE,C0_below_3_20
2,4,2,1,1,2,3,4,2,3,3,2,3,1,0.917,0.438,0.5,0.625,0.583,BRAC,CSE,C3_3_75_plus
3,2,2,0,2,1,1,4,0,4,3,0,3,3,0.833,0.375,0.333,0.375,0.667,BRAC,CSE,C2_3_50_to_3_74
4,1,2,1,1,1,3,3,1,1,1,3,4,1,0.875,0.562,0.667,0.5,0.5,BUET,CSE,C1_3_20_to_3_49
4,2,1,2,4,3,3,4,2,3,3,2,3,4,0.875,0.562,0.5,0.625,0.833,BUET,CSE,C2_3_50_to_3_74
3,4,2,2,4,3,0,1,0,2,4,2,1,2,0.917,0.75,0.333,0.75,0.75,BRAC,CSE,C1_3_20_to_3_49
3,3,1,2,2,3,3,2,2,3,2,1,2,4,0.875,0.438,0.583,0.375,0.833,CUET,CSE,C3_3_75_plus
3,3,1,1,0,3,3,4,2,1,2,3,1,2,0.875,0.375,0.333,0.625,0.667,CUET,EEE,C2_3_50_to_3_74
3,4,0,0,0,2,2,3,1,2,2,1,2,4,0.833,0.125,0.417,0.375,0.917,BRAC,CSE,C3_3_75_plus
3,3,2,2,1,3,2,0,1,4,3,2,2,3,0.833,0.438,0.667,0.625,0.75,BRAC,CSE,C0_below_3_20
4,3,1,2,0,3,2,2,1,3,2,2,2,2,0.875,0.312,0.5,0.5,0.75,CUET,ECE,C1_3_20_to_3_49
1,3,0,2,0,4,3,3,1,3,2,1,2,3,0.917,0.188,0.5,0.375,0.583,BRAC,CSE,C3_3_75_plus
4,4,1,2,0,3,1,1,0,3,0,3,3,1,0.917,0.312,0.583,0.375,0.75,BRAC,CSE,C2_3_50_to_3_74
3,3,2,1,2,3,0,1,1,4,3,3,0,3,0.875,0.438,0.25,0.75,0.75,CUET,CSE,C2_3_50_to_3_74
2,3,2,3,1,3,1,3,1,3,3,3,1,1,0.917,0.562,0.25,0.75,0.5,BRAC,CSE,C1_3_20_to_3_49
3,3,0,2,1,2,2,0,2,3,3,2,1,4,0.917,0.25,0.583,0.625,0.833,BRAC,CSE,C0_below_3_20
4,4,2,2,3,3,3,2,2,2,1,0,4,4,0.875,0.688,0.75,0.125,1,BUET,CSE,C0_below_3_20
3,4,1,1,2,3,1,1,1,2,4,1,3,0,0.833,0.438,0.583,0.625,0.583,BRAC,CSE,C1_3_20_to_3_49
3,4,1,2,0,1,1,2,2,1,2,1,1,3,0.875,0.438,0.333,0.375,0.833,BUET,CSE,C3_3_75_plus
2,4,1,1,0,3,2,3,1,3,1,3,4,3,0.833,0.25,0.583,0.5,0.75,BRAC,CSE,C2_3_50_to_3_74
3,4,2,0,0,4,1,4,1,3,3,3,3,2,0.917,0.312,0.333,0.75,0.75,BRAC,EEE,C2_3_50_to_3_74
2,4,1,0,1,3,1,4,0,2,4,2,2,2,0.917,0.312,0.25,0.75,0.667,BRAC,CSE,C0_below_3_20
2,0,2,4,1,1,3,0,2,1,3,3,1,2,1.375,0.75,0.667,0.75,0.333,BUET,ChE,C0_below_3_20
3,3,2,1,4,4,3,3,3,2,4,4,3,1,1.375,0.688,0.583,1,0.583,BUET,MME,C0_below_3_20
2,3,2,0,0,2,2,2,1,4,1,2,4,3,0.917,0.25,0.667,0.375,0.667,BRAC,EEE,C3_3_75_plus
4,4,0,1,2,1,4,0,2,4,1,3,1,3,0.5,0.188,0.75,0.5,0.917,BUET,NCE,C3_3_75_plus
2,1,2,4,1,3,3,4,2,1,2,0,2,4,0.625,0.75,0.417,0.25,0.583,BUET,PMRE,C1_3_20_to_3_49
3,2,2,2,0,2,2,2,1,1,3,2,3,0,0.833,0.562,0.583,0.625,0.417,BRAC,EEE,C1_3_20_to_3_49
2,2,0,4,3,0,3,4,0,4,3,1,0,1,0.75,0.438,0.25,0.5,0.417,BUET,ME,C0_below_3_20
3,0,0,2,0,4,2,0,3,1,0,2,0,2,0.125,0.312,0.5,0.25,0.417,BUET,IPE,C2_3_50_to_3_74
3,2,1,1,0,0,2,2,2,1,2,0,4,2,1.125,0.375,0.667,0.25,0.583,BUET,Other,C3_3_75_plus
4,0,0,0,4,3,0,1,0,2,4,3,4,4,1.25,0.375,0.583,0.875,0.667,BUET,Other,C0_below_3_20
4,1,1,3,1,2,3,3,1,4,2,0,2,0,0.375,0.375,0.5,0.25,0.417,BUET,EEE,C0_below_3_20
3,4,1,2,0,1,3,1,0,0,1,0,2,4,0.5,0.5,0.667,0.125,0.917,BUET,CSE,C2_3_50_to_3_74
4,2,2,2,1,3,2,3,1,3,1,2,0,0,0.5,0.5,0.25,0.375,0.5,BUET,BME,C0_below_3_20
3,2,2,1,2,3,3,1,0,1,3,3,1,2,0.125,0.625,0.583,0.75,0.583,BUET,Other,C0_below_3_20
2,3,1,4,0,1,4,2,0,0,0,3,2,0,0.125,0.625,0.667,0.375,0.417,BUET,Other,C3_3_75_plus
3,2,1,4,2,3,3,1,3,4,2,4,1,2,0.625,0.5,0.583,0.75,0.583,BUET,CE,C2_3_50_to_3_74
3,3,1,4,2,4,4,4,1,1,2,2,1,4,1.25,0.688,0.417,0.5,0.833,BUET,Other,C0_below_3_20
4,2,1,2,2,0,3,3,3,0,3,2,3,3,1,0.625,0.583,0.625,0.75,BUET,ChE,C2_3_50_to_3_74
3,3,0,1,2,2,4,3,1,3,2,2,0,4,1.25,0.25,0.417,0.5,0.833,BUET,MME,C0_below_3_20
3,0,2,2,3,2,3,2,4,2,3,3,3,2,0.875,0.688,0.667,0.75,0.417,BUET,NCE,C0_below_3_20
2,0,0,3,2,2,0,4,1,2,2,2,2,4,1,0.438,0.167,0.5,0.5,BUET,PMRE,C1_3_20_to_3_49
4,1,0,3,1,3,4,3,2,0,0,3,3,3,1.5,0.5,0.667,0.375,0.667,BUET,ME,C2_3_50_to_3_74
3,4,2,1,0,1,1,2,2,2,2,3,2,2,0.917,0.438,0.417,0.625,0.75,BRAC,CSE,C2_3_50_to_3_74
2,0,1,0,1,3,0,0,0,1,0,2,3,2,0.75,0.375,0.583,0.25,0.333,BUET,IPE,C0_below_3_20
4,4,2,1,2,1,3,0,3,2,4,2,2,2,1.375,0.562,0.75,0.75,0.833,BUET,Other,C0_below_3_20
3,0,2,0,1,4,2,4,3,3,3,4,2,1,0.833,0.375,0.333,0.875,0.333,BRAC,EEE,C3_3_75_plus
4,4,1,2,1,4,2,1,3,4,3,3,2,4,0.125,0.312,0.583,0.75,1,BUET,Other,C0_below_3_20
2,1,2,1,0,0,1,3,2,3,2,4,2,0,0.625,0.375,0.333,0.75,0.25,BUET,EEE,C3_3_75_plus
4,4,2,0,0,4,2,1,3,2,3,1,3,4,1.375,0.375,0.667,0.5,1,BUET,CSE,C0_below_3_20
3,2,2,1,2,2,0,1,1,2,0,2,2,1,0.917,0.562,0.417,0.25,0.5,BRAC,ECE,C0_below_3_20
