@relation student_performance_behavior

@attribute admission_satisfaction numeric
@attribute desired_department_match numeric
@attribute attendance numeric
@attribute weekly_study_time numeric
@attribute study_style numeric
@attribute topic_clarity numeric
@attribute sleep_duration numeric
@attribute stress_frequency numeric
@attribute weekly_responsibilities numeric
@attribute distraction_frequency numeric
@attribute study_environment numeric
@attribute support_level numeric
@attribute routine_manageability numeric
@attribute career_expectation numeric
@attribute academic_progress numeric
@attribute discipline_index numeric
@attribute wellbeing_index numeric
@attribute environment_index numeric
@attribute motivation_index numeric
@attribute university {BRAC,BUET,CUET}
@attribute department {BME,CE,CSE,ChE,ECE,EEE,IPE,ME,MME,NCE,Other,PMRE}
@attribute current_cgpa_band {C0_below_3_20,C1_3_20_to_3_49,C2_3_50_to_3_74,C3_3_75_plus}

@data
2,1,1,0,2,1,0,3,2,4,1,3,4,3,0.5,0.25,0.417,0.5,0.5,BUET,BME,C2_3_50_to_3_74
3,0,1,1,3,4,0,1,2,0,0,3,3,1,0.125,0.625,0.5,0.375,0.333,BUET,Other,C1_3_20_to_3_49
3,4,0,1,2,2,2,4,4,1,0,4,4,1,1.125,0.375,0.5,0.5,0.667,BUET,Other,C0_below_3_20
3,4,2,0,2,0,3,2,0,2,1,3,3,3,0.833,0.5,0.667,0.5,0.833,BRAC,ECE,C0_below_3_20
3,4,2,0,3,3,1,1,0,3,4,0,3,1,1.5,0.5,0.583,0.5,0.667,BUET,CE,C0_below_3_20
3,1,2,1,1,1,2,3,2,4,0,2,3,1,0.917,0.375,0.5,0.25,0.417,BRAC,EEE,C0_below_3_20
4,3,2,3,4,0,2,1,0,3,1,0,4,1,0.25,0.75,0.75,0.125,0.667,BUET,Other,C3_3_75_plus
4,3,1,1,0,3,2,2,4,3,0,4,3,4,0.375,0.25,0.583,0.5,0.917,BUET,ChE,C3_3_75_plus
4,4,1,0,2,2,0,4,4,4,2,0,0,2,1.5,0.25,0,0.25,0.833,BUET,MME,C3_3_75_plus
2,0,1,3,4,3,0,2,3,0,0,0,2,1,1.5,0.812,0.333,0,0.25,BUET,NCE,C3_3_75_plus
2,3,2,0,2,1,2,2,2,4,3,3,2,3,0.833,0.375,0.5,0.75,0.667,BRAC,CSE,C3_3_75_plus
2,0,1,0,2,4,4,1,4,0,1,0,3,3,0.875,0.5,0.833,0.125,0.417,BUET,PMRE,C1_3_20_to_3_49
3,2,0,0,2,1,0,1,4,4,1,1,4,3,1.375,0.125,0.583,0.25,0.667,BUET,ME,C3_3_75_plus
3,3,2,1,1,3,2,3,3,3,1,4,2,2,0.917,0.438,0.417,0.625,0.667,BRAC,CSE,C0_below_3_20
4,3,1,2,1,3,4,4,1,1,0,2,3,4,1.375,0.5,0.583,0.25,0.917,BUET,IPE,C0_below_3_20
4,3,1,1,0,4,3,4,2,3,1,1,2,3,0.917,0.25,0.417,0.25,0.833,BRAC,CSE,C1_3_20_to_3_49
3,3,1,4,1,4,0,2,4,4,3,3,3,0,0.625,0.438,0.417,0.75,0.5,BUET,Other,C0_below_3_20
2,1,0,0,1,4,2,2,1,0,1,0,4,3,1.125,0.312,0.667,0.125,0.5,BUET,Other,C0_below_3_20
4,3,2,1,3,1,1,1,4,4,3,2,1,4,0.5,0.5,0.417,0.625,0.917,BUET,EEE,C3_3_75_plus
3,2,2,0,0,3,3,2,2,2,3,2,2,2,0.917,0.375,0.583,0.625,0.583,BRAC,CSE,C2_3_50_to_3_74
2,2,1,2,2,2,1,1,4,4,3,3,2,2,0.917,0.375,0.5,0.75,0.5,BRAC,CSE,C1_3_20_to_3_49
4,4,2,0,4,3,4,4,4,1,4,4,4,3,0.375,0.688,0.667,1,0.917,BUET,CSE,C2_3_50_to_3_74
3,4,2,2,2,1,1,4,2,2,1,2,2,1,0.833,0.625,0.25,0.375,0.667,BRAC,CSE,C2_3_50_to_3_74
4,2,2,2,2,3,1,0,1,4,3,1,2,4,0.625,0.5,0.583,0.5,0.833,BUET,BME,C0_below_3_20
